# target,10110011
i,j,weight
0,0,-3.500955
0,1,0.004908
0,2,-0.029557
0,3,-0.017686
0,4,-0.000337
0,5,0.029762
0,6,-0.018931
0,7,0.009422
1,1,1.068589
1,2,-0.002825
1,3,0.017573
1,4,0.005611
1,5,0.019451
1,6,0.031021
1,7,-0.019224
2,2,-2.101484
2,3,0.012455
2,4,0.010042
2,5,0.021656
2,6,0.028740
2,7,-0.010272
3,3,-1.915975
3,4,0.025600
3,5,0.025350
3,6,0.021843
3,7,0.006520
4,4,3.927298
4,5,0.019306
4,6,-0.014441
4,7,-0.002277
5,5,3.652134
5,6,-0.029740
5,7,0.007635
6,6,-4.603642
6,7,0.003271
7,7,-1.356697
