# target,100111110011111001111
i,j,weight
0,0,1.177294
0,1,0.165416
0,2,0.821426
0,3,-0.576489
0,4,-1.548250
0,5,-0.572558
0,6,-0.336098
1,1,1.156376
1,2,-0.305549
1,3,-0.799206
1,4,0.577417
1,5,-0.984307
1,6,-0.105696
2,2,0.645590
2,3,-0.166456
2,4,0.467519
2,5,0.306168
2,6,-0.879441
3,3,1.825144
3,4,-1.157346
3,5,-0.441012
3,6,-0.753253
4,4,1.541218
4,5,-0.659228
4,6,-0.816308
5,5,1.056228
5,6,0.182925
6,6,1.067732
7,7,0.704134
7,8,1.000506
7,9,0.236318
7,10,-1.347813
7,11,-0.161279
7,12,-0.761269
7,13,-0.693855
8,8,1.100580
8,9,-1.620018
8,10,-0.267345
8,11,0.208973
8,12,-0.062549
8,13,-0.406844
9,9,0.738344
9,10,-0.591356
9,11,0.196280
9,12,0.610593
9,13,0.220436
10,10,2.233899
10,11,-1.222597
10,12,-0.472721
10,13,-0.799611
11,11,1.418595
11,12,-0.433112
11,13,-0.886721
12,12,0.395171
12,13,-0.131700
13,13,2.148881
14,14,1.079548
14,15,-0.613131
14,16,1.122237
14,17,-0.712514
14,18,-0.415438
14,19,-0.806298
14,20,-0.521961
15,15,0.719025
15,16,-0.679094
15,17,0.103468
15,18,-0.475327
15,19,0.044197
15,20,0.474417
16,16,0.024325
16,17,0.450901
16,18,0.188088
16,19,-0.235866
16,20,-0.103700
17,17,2.148460
17,18,-1.047678
17,19,-1.306738
17,20,-1.676622
18,18,1.324058
18,19,-0.645924
18,20,0.143889
19,19,2.169299
19,20,-1.013023
20,20,1.270943
