# target,000101100100010111101
i,j,weight
0,0,1.610789
0,1,-0.880642
0,2,-0.041364
0,3,0.339636
0,4,-1.839268
0,5,-0.185718
0,6,0.030742
0,18,0.010000
1,1,1.931477
1,2,-0.237078
1,3,-0.470729
1,4,-0.638743
1,5,-0.639151
1,6,0.239460
1,8,-0.010000
1,12,-0.010000
1,13,0.010000
1,16,-0.010000
2,2,1.185740
2,3,-0.151189
2,4,-0.139497
2,5,0.592024
2,6,-0.593585
2,10,-0.010000
2,13,0.010000
2,15,-0.010000
2,17,0.010000
2,18,-0.010000
3,3,0.759397
3,4,-0.341453
3,5,-0.475192
3,6,-0.787433
3,12,-0.010000
3,13,0.010000
3,17,0.010000
4,4,1.837536
4,5,0.036525
4,6,-0.130555
5,5,0.176559
5,6,0.008605
5,11,0.010000
5,12,0.010000
5,14,0.010000
5,20,-0.010000
6,6,0.238063
6,11,0.010000
6,16,-0.010000
6,17,-0.020000
6,18,-0.010000
7,7,1.239143
7,8,-0.144791
7,9,-0.083780
7,10,-0.949210
7,11,-0.039669
7,12,-1.109119
7,13,0.839999
7,16,-0.010000
8,8,2.121360
8,9,-0.424519
8,10,-0.978235
8,11,-0.682341
8,12,-0.835117
8,13,-0.490474
8,15,0.010000
8,20,0.010000
9,9,0.038228
9,10,-0.534358
9,11,-0.034169
9,12,1.075862
9,13,-0.346359
9,16,-0.010000
10,10,2.050714
10,11,-0.893846
10,12,-0.372826
10,13,0.155966
10,16,0.010000
10,19,-0.010000
11,11,1.617412
11,12,-0.432357
11,13,-0.252739
11,15,0.010000
12,12,0.555914
12,13,0.901137
13,13,0.278131
14,14,0.604508
14,15,-0.289130
14,16,1.345948
14,17,-0.370476
14,18,-0.067423
14,19,-1.092643
14,20,-0.145138
15,15,0.944500
15,16,-1.046674
15,17,-0.390196
15,18,-0.621940
15,19,0.228445
15,20,-0.183820
16,16,0.587001
16,17,-0.275864
16,18,-0.195714
16,19,-0.085442
16,20,-0.805761
17,17,2.333762
17,18,-1.312350
17,19,-0.522938
17,20,-1.735306
18,18,1.336969
18,19,-0.213333
18,20,-0.276004
19,19,1.552611
19,20,-0.349395
20,20,1.571397
