# target,010110011001111101000
i,j,weight
0,0,0.016297
0,1,-0.712006
0,2,1.977940
0,3,1.275276
0,4,0.018425
0,5,-1.026408
0,6,-0.923490
0,7,0.010000
0,12,-0.010000
0,18,0.010000
0,20,-0.020000
1,1,-0.242498
1,2,1.602101
1,3,-1.851422
1,4,0.749479
1,5,1.286861
1,6,-0.057281
1,8,-0.010000
1,12,-0.010000
1,13,-0.010000
1,16,-0.010000
1,18,0.010000
2,2,-0.162908
2,3,-0.726168
2,4,2.029784
2,5,-0.427633
2,6,-2.475687
2,10,-0.010000
2,13,0.010000
2,15,-0.010000
2,17,0.010000
2,18,-0.010000
3,3,0.502804
3,4,0.015919
3,5,-0.871881
3,6,-0.206361
3,12,-0.010000
3,13,0.010000
3,17,0.010000
4,4,-1.569894
4,5,1.497984
4,6,-2.437552
4,19,0.020000
5,5,-0.369316
5,6,0.541995
5,11,0.010000
5,12,0.010000
5,14,0.010000
5,19,-0.010000
5,20,-0.010000
6,6,3.177452
6,11,0.010000
6,13,-0.010000
6,16,-0.010000
6,18,-0.010000
7,7,0.522073
7,8,-0.872438
7,9,0.039162
7,10,2.071212
7,11,-0.394846
7,12,-0.729104
7,13,-1.070906
7,16,-0.010000
7,17,-0.020000
8,8,3.082657
8,9,-1.162675
8,10,0.133051
8,11,-2.019655
8,12,0.613586
8,13,-1.572964
8,15,-0.010000
8,17,0.010000
8,19,0.010000
9,9,1.195205
9,10,-2.145668
9,11,0.100570
9,12,-0.167229
9,13,1.110767
9,16,0.010000
10,10,0.037887
10,11,-0.338322
10,12,1.958601
10,13,-1.018760
10,16,0.010000
10,19,-0.010000
11,11,0.608405
11,12,0.053849
11,13,-0.595124
11,15,0.010000
12,12,-0.499184
12,13,-0.925189
13,13,1.939213
14,14,-2.723501
14,15,-1.117893
14,16,1.021665
14,17,-0.108098
14,18,0.582991
14,19,1.725352
14,20,2.421827
15,15,0.155186
15,16,0.079239
15,17,0.227259
15,18,-0.243053
15,19,0.693164
15,20,-0.855486
16,16,0.358062
16,17,-0.966451
16,18,-1.164994
16,19,-1.050726
16,20,0.163061
17,17,-0.256650
17,18,1.182927
17,19,-0.153731
17,20,0.057941
18,18,-0.419451
18,19,-0.645090
18,20,-0.156022
19,19,1.267850
19,20,-0.088098
20,20,-1.061999
