alpha,instance_id,read_idx,hd,energy,delta_energy,is_target,is_R_gs,eng_ok
0.003,0,0,23,-4542.487000000361,0.6569999996390834,0,0,0
0.003,0,1,23,-4542.412000000355,0.731999999645268,0,0,0
0.003,0,2,26,-4542.379000000356,0.7649999996438055,0,0,0
0.003,0,3,29,-4542.346000000353,0.7979999996468905,0,0,0
0.003,0,4,25,-4542.34000000035,0.8039999996499319,0,0,0
0.003,0,5,30,-4542.319000000355,0.8249999996451152,0,0,0
0.003,0,6,26,-4542.3100000003615,0.8339999996387633,0,0,0
0.003,0,7,32,-4542.256000000347,0.8879999996534025,0,0,0
0.003,0,8,32,-4542.235000000354,0.9089999996458573,0,0,0
0.003,0,9,31,-4542.226000000347,0.9179999996531478,0,0,0
0.003,0,10,32,-4542.205000000362,0.9389999996383267,0,0,0
0.003,0,11,35,-4542.20200000034,0.9419999996598563,0,0,0
0.003,0,12,36,-4542.184000000355,0.9599999996453334,0,0,0
0.003,0,13,34,-4542.163000000344,0.9809999996559782,0,0,0
0.003,0,14,35,-4542.157000000352,0.9869999996481056,0,0,0
0.003,0,15,35,-4542.142000000357,1.001999999642976,0,0,0
0.003,0,16,35,-4542.121000000355,1.0229999996454353,0,0,0
0.003,0,17,35,-4542.088000000341,1.0559999996594343,0,0,0
0.003,0,18,38,-4542.073000000358,1.0709999996424813,0,0,0
0.003,0,19,39,-4542.05200000036,1.091999999640393,0,0,0
0.003,0,20,35,-4542.043000000351,1.1009999996495026,0,0,0
0.003,0,21,40,-4542.025000000341,1.1189999996595361,0,0,0
0.003,0,22,37,-4542.022000000356,1.1219999996446859,0,0,0
0.003,0,23,39,-4542.0040000003555,1.139999999644715,0,0,0
0.003,0,24,38,-4542.001000000353,1.1429999996471452,0,0,0
0.003,0,25,37,-4542.001000000341,1.1429999996589686,0,0,0
0.003,0,26,39,-4541.983000000348,1.1609999996526312,0,0,0
0.003,0,27,44,-4541.959000000347,1.1849999996529732,0,0,0
0.003,0,28,44,-4541.950000000352,1.1939999996484403,0,0,0
0.003,0,29,41,-4541.941000000327,1.2029999996730112,0,0,0
0.003,0,30,42,-4541.929000000356,1.214999999644533,0,0,0
0.003,0,31,41,-4541.929000000351,1.2149999996490806,0,0,0
0.003,0,32,42,-4541.914000000351,1.229999999649408,0,0,0
0.003,0,33,40,-4541.911000000345,1.2329999996554761,0,0,0
0.003,0,34,45,-4541.8690000003535,1.2749999996467523,0,0,0
0.003,0,35,43,-4541.86300000035,1.2809999996497936,0,0,0
0.003,0,36,45,-4541.8600000003535,1.2839999996467668,0,0,0
0.003,0,37,47,-4541.854000000355,1.2899999996452607,0,0,0
0.003,0,38,46,-4541.800000000354,1.3439999996462575,0,0,0
0.003,0,39,44,-4541.794000000351,1.3499999996492988,0,0,0
0.003,0,40,46,-4541.782000000358,1.3619999996426486,0,0,0
0.003,0,41,48,-4541.752000000352,1.391999999647851,0,0,0
0.003,0,42,52,-4541.704000000341,1.4399999996594488,0,0,0
0.003,0,43,50,-4541.668000000358,1.4759999996422266,0,0,0
0.003,0,44,49,-4541.6590000003425,1.4849999996577026,0,0,0
0.003,0,45,49,-4541.650000000342,1.4939999996586266,0,0,0
0.003,0,46,52,-4541.584000000348,1.5599999996520637,0,0,0
0.003,0,47,55,-4541.572000000349,1.5719999996508704,0,0,0
0.003,0,48,55,-4541.476000000352,1.6679999996486004,0,0,0
0.003,0,49,29,-4541.322000000353,1.8219999996472325,0,0,0
0.003,0,50,31,-4541.256000000351,1.887999999648855,0,0,0
0.003,0,51,31,-4541.241000000347,1.9029999996528204,0,0,0
0.003,0,52,38,-4541.076000000357,2.0679999996427796,0,0,0
0.003,0,53,34,-4541.073000000354,2.0709999996461192,0,0,0
0.003,0,54,39,-4541.058000000347,2.085999999652813,0,0,0
0.003,0,55,35,-4541.049000000347,2.0949999996528277,0,0,0
0.003,0,56,37,-4541.0250000003525,2.1189999996477127,0,0,0
