alpha,instance_id,hd_mean,hd_min,hd_max,hd_std,eng_count,bit_count,gs_count,best_energy,best_delta,target_density
0.02,0,7.85,0,28,5.9251582257354105,15,15,15,-4889.040000002192,-2.191882231272757e-09,0.552744119743407
0.02,1,6.83,0,23,5.167310712546711,14,14,14,-5111.380000002353,-2.3528627934865654e-09,0.5702066999287242
0.02,2,2.65,0,14,3.7453304260105007,56,56,56,-5033.680000002654,-2.6539055397734046e-09,0.5575552387740556
0.02,3,9.5,0,25,5.692978130996113,6,6,6,-4956.40000000227,-2.270098775625229e-09,0.5563079116179616
0.02,4,5.14,0,21,4.342856203007417,26,26,26,-5169.820000002486,-2.486558514647186e-09,0.5636136849607983
0.02,5,11.8,0,28,5.796550698475776,1,1,1,-4854.980000002004,-2.004526322707534e-09,0.5493585174625801
0.02,6,6.14,0,26,5.0180075727324285,22,22,22,-4962.7600000023085,-2.308297553099692e-09,0.552744119743407
0.02,7,7.7,0,32,5.9808026217222725,18,18,18,-4905.180000002163,-2.1627784008160233e-09,0.5488239486813971
0.02,8,7.92,0,21,5.290897844411664,8,8,8,-5063.040000002316,-2.3164830054156482e-09,0.5575552387740556
0.02,9,2.96,0,12,2.962836478781777,39,39,39,-5075.76000000276,-2.7594069251790643e-09,0.5509622238061297
0.02,10,13.56,0,39,8.326247654255788,2,2,2,-4866.98000000217,-2.1700543584302068e-09,0.5595153243050606
0.02,11,5.43,0,19,5.0085027702897404,27,27,27,-5076.060000002434,-2.433807821944356e-09,0.5554169636493229
0.02,12,12.15,0,27,6.448837104470852,4,4,4,-4975.380000002182,-2.181877789553255e-09,0.5586243763364219
0.02,13,5.98,0,25,5.102901135628634,22,22,22,-5057.540000002514,-2.5138433557003736e-09,0.544903777619387
0.02,14,10.94,0,37,6.360534568729267,3,3,3,-4893.600000002123,-2.1227606339380145e-09,0.5482893799002139
0.02,15,3.8,0,17,3.695943722515266,33,33,33,-5035.240000002377,-2.3774191504344344e-09,0.5637918745545261
0.02,16,4.43,0,16,3.907057716492041,32,32,32,-4978.340000002546,-2.545675670262426e-09,0.5473984319315752
0.02,17,4.84,0,17,3.9108055436188587,22,22,22,-5032.160000002563,-2.5629560695961118e-09,0.5522095509622238
0.02,18,11.62,0,30,6.891705159102499,8,8,8,-4858.0400000019545,-1.9545041141100228e-09,0.5514967925873129
0.02,19,1.97,0,11,2.639905301331849,57,57,57,-5189.920000002873,-2.8730937629006803e-09,0.5477548111190307
0.02,20,5.06,0,16,3.9441602401525224,21,21,21,-5032.940000002186,-2.1864252630621195e-09,0.5671774768353528
0.02,21,11.71,0,27,5.69788557273661,2,2,2,-4900.980000002142,-2.142769517377019e-09,0.5573770491803278
0.02,22,4.94,0,20,4.664375628098577,28,28,28,-5091.520000002645,-2.6448105927556753e-09,0.5630791161796151
0.02,23,12.56,0,30,6.83420807409315,3,3,3,-4903.940000002138,-2.1382220438681543e-09,0.5522095509622238
0.02,24,8.95,0,24,5.374709294464213,7,7,7,-5039.300000002346,-2.345586835872382e-09,0.5602280826799715
0.02,25,14.07,0,39,7.1739180368889075,2,2,2,-4816.980000001965,-1.965418050531298e-09,0.5605844618674269
0.02,26,7.17,0,26,5.401953350409461,21,21,21,-4970.08000000234,-2.3401298676617444e-09,0.5522095509622238
0.02,27,3.61,0,15,3.9291093138267357,39,39,39,-5196.980000002535,-2.535671228542924e-09,0.571632216678546
0.02,28,4.09,0,15,3.6168909300668717,27,27,27,-5142.940000002715,-2.7148416847921908e-09,0.5541696364932288
0.02,29,13.56,0,34,7.430100941440836,3,3,3,-4955.900000002173,-2.1736923372372985e-09,0.5536350677120456
0.02,30,3.13,0,13,2.9921731233336084,37,37,37,-5143.180000002696,-2.6957422960549593e-09,0.5534568781183179
0.02,31,8.05,0,30,6.58540051933062,12,12,12,-4929.860000002363,-2.3637767299078405e-09,0.5557733428367784
0.02,32,5.54,0,27,4.519778755647227,21,21,21,-4990.260000002268,-2.26737029151991e-09,0.5497148966500356
0.02,33,4.29,0,14,3.858224980480014,35,35,35,-5161.840000002629,-2.6284396881237626e-09,0.5636136849607983
0.02,34,6.78,0,18,4.439774769062052,14,14,14,-5129.380000002573,-2.572960511315614e-09,0.550784034212402
0.02,35,12.78,0,29,6.581154913843011,3,3,3,-5123.10000000219,-2.190063241869211e-09,0.5673556664290805
0.02,36,8.08,0,25,5.4784669388433835,8,8,8,-5054.40000000237,-2.370143192820251e-09,0.5596935138987883
0.02,37,2.32,0,12,2.972810118389669,54,54,54,-5237.380000002756,-2.7557689463719726e-09,0.5490021382751248
0.02,38,9.32,0,31,6.377899340692043,12,12,12,-4948.520000002293,-2.292836143169552e-09,0.5582679971489665
0.02,39,6.88,0,23,5.463112665870987,15,15,15,-4967.520000002498,-2.497472451068461e-09,0.5465074839629366
0.02,40,9.97,0,24,5.622197079434338,6,6,6,-4862.360000002255,-2.255546860396862e-09,0.5400926585887385
0.02,41,3.16,0,16,3.7355588604651913,44,44,44,-5108.400000002553,-2.5529516278766096e-09,0.5525659301496793
0.02,42,5.42,0,18,4.712069608993484,26,26,26,-5044.500000002524,-2.523847797419876e-09,0.5538132573057734
0.02,43,1.98,0,10,2.8912972866863758,63,63,63,-5111.900000002642,-2.6420821086503565e-09,0.550071275837491
0.02,44,0.0,0,0,0.0,100,100,100,-5402.9800000030555,-3.055902197957039e-09,0.5511404133998574
0.02,45,5.77,0,19,4.467337014374447,17,17,17,-4805.100000002228,-2.2273525246419013e-09,0.5427655024946543
0.02,46,3.53,0,17,3.8508570474635904,40,40,40,-5007.740000002643,-2.6429916033521295e-09,0.5473984319315752
0.02,47,10.24,0,29,5.587700779390392,2,2,2,-5067.600000002189,-2.1882442524656653e-09,0.5602280826799715
0.02,48,8.8,0,25,5.21344415909483,9,9,9,-4937.46000000238,-2.380147634539753e-09,0.5561297220242338
0.02,49,11.13,0,34,6.604021502084923,6,6,6,-4790.600000002136,-2.1354935597628355e-09,0.5484675694939416
0.02,50,17.08,3,46,8.30744244638505,0,0,0,-4805.50000000201,0.3599999979896893,0.5506058446186742
0.02,51,0.33,0,6,1.0867842472174503,91,91,91,-5290.48000000286,-2.8603608370758593e-09,0.5582679971489665
0.02,52,2.6,0,21,3.655133376499413,55,55,55,-5217.900000002745,-2.7457645046524704e-09,0.5564861012116893
0.02,53,6.36,0,21,4.65514768831237,13,13,13,-4912.780000002248,-2.2482709027826786e-09,0.5518531717747683
0.02,54,6.44,0,22,4.800666620376799,19,19,19,-5166.180000002586,-2.585693437140435e-09,0.5575552387740556
0.02,55,12.08,0,34,7.545435706438695,6,6,6,-4842.060000002205,-2.204615157097578e-09,0.5488239486813971
0.02,56,4.62,0,20,4.544843231619766,29,29,29,-5004.000000002542,-2.5420376914553344e-09,0.5539914468995011
0.02,57,14.8,0,43,7.6954532030283955,1,1,1,-4825.920000002149,-2.1491359802894294e-09,0.544903777619387
0.02,58,5.93,0,21,4.932048256049407,24,24,24,-5086.8000000025695,-2.5693225325085223e-09,0.5482893799002139
0.02,59,15.57,3,29,6.321795630989664,0,0,0,-4705.360000001908,0.37999999809198926,0.550784034212402
0.02,60,2.8,0,14,2.8035691537752374,40,40,40,-5132.940000002568,-2.5675035431049764e-09,0.5584461867426942
0.02,61,0.87,0,4,1.56623752987853,76,76,76,-4954.320000002429,-2.4292603484354913e-09,0.5450819672131147
0.02,62,2.95,0,13,3.3237779709240507,48,48,48,-5208.740000002755,-2.7548594516701996e-09,0.5648610121168923
0.02,63,6.89,0,22,4.8536481125025945,11,11,11,-5038.500000002418,-2.418346412014216e-09,0.5502494654312188
