alpha,instance_id,read_idx,hd,energy,delta_energy,is_target,is_R_gs,eng_ok
0.02,0,0,0,-4889.040000002192,-2.191882231272757e-09,1,1,1
0.02,0,1,0,-4889.040000002192,-2.191882231272757e-09,1,1,1
0.02,0,2,0,-4889.040000002192,-2.191882231272757e-09,1,1,1
0.02,0,3,0,-4889.040000002192,-2.191882231272757e-09,1,1,1
0.02,0,4,0,-4889.040000002192,-2.191882231272757e-09,1,1,1
0.02,0,5,0,-4889.040000002192,-2.191882231272757e-09,1,1,1
0.02,0,6,0,-4889.040000002192,-2.191882231272757e-09,1,1,1
0.02,0,7,0,-4889.040000002192,-2.191882231272757e-09,1,1,1
0.02,0,8,0,-4889.040000002192,-2.191882231272757e-09,1,1,1
0.02,0,9,0,-4889.040000002192,-2.191882231272757e-09,1,1,1
0.02,0,10,0,-4889.040000002192,-2.191882231272757e-09,1,1,1
0.02,0,11,0,-4889.040000002192,-2.191882231272757e-09,1,1,1
0.02,0,12,0,-4889.040000002192,-2.191882231272757e-09,1,1,1
0.02,0,13,0,-4889.040000002192,-2.191882231272757e-09,1,1,1
0.02,0,14,0,-4889.040000002192,-2.191882231272757e-09,1,1,1
0.02,0,15,3,-4888.740000002189,0.29999999781102815,0,0,0
0.02,0,16,3,-4888.740000002189,0.29999999781102815,0,0,0
0.02,0,17,3,-4888.740000002189,0.29999999781102815,0,0,0
0.02,0,18,3,-4888.740000002189,0.29999999781102815,0,0,0
0.02,0,19,3,-4888.740000002189,0.29999999781102815,0,0,0
0.02,0,20,3,-4888.740000002189,0.29999999781102815,0,0,0
0.02,0,21,3,-4888.740000002189,0.29999999781102815,0,0,0
0.02,0,22,3,-4888.740000002189,0.29999999781102815,0,0,0
0.02,0,23,4,-4888.480000002187,0.5599999978130654,0,0,0
0.02,0,24,4,-4888.480000002187,0.5599999978130654,0,0,0
0.02,0,25,4,-4888.480000002187,0.5599999978130654,0,0,0
0.02,0,26,4,-4888.480000002187,0.5599999978130654,0,0,0
0.02,0,27,4,-4888.480000002187,0.5599999978130654,0,0,0
