alpha,instance_id,hd_mean,hd_min,hd_max,hd_std,eng_count,bit_count,gs_count,best_energy,best_delta,target_density
0,0,177.41,140,220,17.844380067685176,0,0,0,-2698.2999999999165,3.3000000001070475,0.607448325017819
0,1,186.45,143,246,19.36614313692843,0,0,0,-2726.0999999999135,2.8000000001161425,0.6003207412687099
0,2,181.67,122,229,18.227481998345247,0,0,0,-2610.8999999999264,2.6000000000926775,0.5914112615823236
0,3,200.23,151,267,21.23433775750965,0,0,0,-2696.7999999999233,2.7000000001075932,0.5962223806129722
0,4,177.16,128,238,19.34100307636602,0,0,0,-2719.099999999902,2.2000000001289663,0.6019244476122595
0,5,181.1,133,255,22.475987186328435,0,0,0,-2684.8999999999073,2.8000000001138687,0.5978260869565217
0,6,182.37,140,251,20.391495776426016,0,0,0,-2695.8999999999455,2.9000000000796717,0.6004989308624377
0,7,167.62,121,214,19.74070920711817,0,0,0,-2718.099999999938,2.2000000000725777,0.6031717747683535
0,8,193.93,135,231,19.494232480403017,0,0,0,-2648.2999999999383,2.6000000000858563,0.5951532430506058
0,9,172.92,124,222,20.477636582379326,0,0,0,-2607.299999999944,1.9000000000669388,0.582679971489665
0,10,184.18,143,237,18.426817413758677,0,0,0,-2700.499999999916,3.000000000113687,0.6003207412687099
0,11,177.03,116,226,20.26053059522381,0,0,0,-2700.4999999999445,2.100000000071759,0.5969351389878831
0,12,175.82,126,234,19.568024938659498,0,0,0,-2654.9999999999313,2.400000000093769,0.6049536707056308
0,13,201.8,155,251,20.12858663692014,0,0,0,-2654.3999999999314,3.5000000000877662,0.5972915181753385
0,14,208.52,149,256,21.460419380804282,0,0,0,-2651.2999999999274,2.7000000001030457,0.5939059158945118
0,15,168.46,120,224,15.80722619563597,0,0,0,-2708.999999999936,2.7000000000853106,0.6056664290805417
0,16,190.14,134,234,19.549434774437856,0,0,0,-2692.0999999999212,2.6000000000944965,0.5908766928011404
0,17,191.36,153,246,17.309257638616394,0,0,0,-2647.599999999929,3.3000000000893124,0.5906985032074127
0,18,171.18,128,211,17.829402682086688,0,0,0,-2695.5999999999567,1.9000000000637556,0.5999643620812545
0,19,170.69,133,229,18.973505211214928,0,0,0,-2694.699999999919,2.700000000115324,0.5946186742694227
0,20,196.99,144,259,21.40443645602472,0,0,0,-2674.4999999999295,3.3000000000961336,0.5964005702066999
0,21,195.12,158,244,19.119769873092093,0,0,0,-2676.9999999999477,3.0000000000691216,0.6037063435495367
0,22,198.48,137,272,22.53818093813252,0,0,0,-2804.099999999934,3.1000000000854016,0.6143977191732003
0,23,191.81,145,242,20.291227168409502,0,0,0,-2693.0999999999453,2.200000000064847,0.6058446186742694
0,24,198.69,165,248,18.278782782231424,0,0,0,-2704.999999999917,2.500000000129603,0.599607982893799
0,25,184.04,137,250,22.62826551019764,0,0,0,-2678.2999999999283,2.400000000095588,0.5990734141126158
0,26,194.76,135,252,22.056799405172097,0,0,0,-2607.5999999999385,3.4000000000769433,0.595687811831789
0,27,198.74,150,252,22.419910793756515,0,0,0,-2697.4999999999527,3.100000000073578,0.5994297933000713
0,28,184.74,137,230,19.976295952953837,0,0,0,-2686.59999999992,2.80000000009386,0.5969351389878831
0,29,198.86,159,257,20.503667964537467,0,0,0,-2628.599999999945,3.0000000000850378,0.5896293656450463
0,30,204.1,162,256,19.357944105715358,0,0,0,-2649.3999999999314,2.900000000095588,0.594440484675695
0,31,196.63,159,255,19.451814825357555,0,0,0,-2621.7999999999497,2.300000000068394,0.5887384176764077
0,32,192.26,141,256,20.408635427191108,0,0,0,-2660.599999999921,2.1000000000981345,0.5969351389878831
0,33,198.08,150,250,19.736098905305475,0,0,0,-2758.2999999999483,2.400000000070122,0.6053100498930862
0,34,205.02,152,253,21.545755962602005,0,0,0,-2710.0999999999162,3.2000000001085027,0.5992516037063436
0,35,193.14,153,238,18.64028969731962,0,0,0,-2665.899999999906,2.600000000109503,0.6001425516749822
0,36,189.32,136,233,19.491988097677467,0,0,0,-2667.2999999999306,2.4000000000855835,0.602815395580898
0,37,167.83,121,209,18.73395580223248,0,0,0,-2710.6999999999402,2.600000000080854,0.6040627227369921
0,38,172.0,125,226,22.776303475322766,0,0,0,-2761.199999999924,2.900000000089676,0.5983606557377049
0,39,194.7,141,234,17.708472548472383,0,0,0,-2695.999999999938,3.100000000095406,0.5981824661439772
0,40,172.58,130,212,17.6772056615292,0,0,0,-2652.8999999999323,1.8000000000902219,0.6076265146115467
0,41,175.84,138,235,21.387248537387883,0,0,0,-2656.5999999999312,2.5000000000959517,0.5958660014255167
0,42,166.77,119,220,19.31986283595202,0,0,0,-2749.499999999958,2.600000000059481,0.6017462580185318
0,43,199.49,148,240,16.161370610192687,0,0,0,-2677.899999999927,2.7000000000962245,0.5960441910192444
0,44,155.82,108,217,17.975194018424393,0,0,0,-2737.8999999999323,2.300000000080672,0.5946186742694227
0,45,205.4,152,252,19.5509590557599,0,0,0,-2617.8999999999155,3.400000000111959,0.5896293656450463
0,46,198.72,159,258,20.78945886741644,0,0,0,-2645.8999999999237,3.7000000001048647,0.5990734141126158
0,47,217.61,172,260,19.476085335610954,0,0,0,-2724.0999999999185,2.900000000095133,0.6017462580185318
0,48,180.96,139,230,20.628097343187036,0,0,0,-2711.39999999992,2.6000000000944965,0.6065573770491803
0,49,179.17,137,226,19.017389410747207,0,0,0,-2614.3999999998973,3.1000000001181434,0.5940841054882395
0,50,186.45,134,253,19.647073573435815,0,0,0,-2695.8999999999287,2.7000000000907676,0.6001425516749822
0,51,189.39,119,236,21.736096705710526,0,0,0,-2736.3999999999005,2.3000000001284207,0.602815395580898
0,52,169.52,115,217,19.818920253131857,0,0,0,-2718.5999999998926,2.400000000127875,0.5997861724875267
