alpha,instance_id,read_idx,hd,energy,delta_energy,is_target,is_R_gs,eng_ok
0.0,0,0,763,-4167.0,301.0,0,0,0
0.0,0,1,761,-4163.0,305.0,0,0,0
0.0,0,2,812,-4150.0,318.0,0,0,0
0.0,0,3,783,-4148.0,320.0,0,0,0
0.0,0,4,811,-4148.0,320.0,0,0,0
0.0,0,5,771,-4143.0,325.0,0,0,0
0.0,0,6,811,-4139.0,329.0,0,0,0
0.0,0,7,820,-4137.0,331.0,0,0,0
0.0,0,8,775,-4137.0,331.0,0,0,0
0.0,0,9,826,-4136.0,332.0,0,0,0
0.0,0,10,794,-4135.0,333.0,0,0,0
0.0,0,11,810,-4135.0,333.0,0,0,0
0.0,0,12,809,-4134.0,334.0,0,0,0
0.0,0,13,823,-4134.0,334.0,0,0,0
0.0,0,14,810,-4134.0,334.0,0,0,0
0.0,0,15,811,-4133.0,335.0,0,0,0
0.0,0,16,766,-4132.0,336.0,0,0,0
0.0,0,17,742,-4131.0,337.0,0,0,0
0.0,0,18,767,-4131.0,337.0,0,0,0
0.0,0,19,817,-4131.0,337.0,0,0,0
0.0,0,20,823,-4130.0,338.0,0,0,0
0.0,0,21,818,-4129.0,339.0,0,0,0
0.0,0,22,800,-4128.0,340.0,0,0,0
0.0,0,23,855,-4128.0,340.0,0,0,0
0.0,0,24,839,-4128.0,340.0,0,0,0
0.0,0,25,798,-4127.0,341.0,0,0,0
0.0,0,26,806,-4127.0,341.0,0,0,0
0.0,0,27,861,-4127.0,341.0,0,0,0
0.0,0,28,834,-4126.0,342.0,0,0,0
0.0,0,29,802,-4126.0,342.0,0,0,0
0.0,0,30,812,-4125.0,343.0,0,0,0
0.0,0,31,837,-4125.0,343.0,0,0,0
0.0,0,32,821,-4124.0,344.0,0,0,0
0.0,0,33,758,-4123.0,345.0,0,0,0
0.0,0,34,812,-4123.0,345.0,0,0,0
0.0,0,35,820,-4122.0,346.0,0,0,0
0.0,0,36,796,-4122.0,346.0,0,0,0
0.0,0,37,826,-4122.0,346.0,0,0,0
0.0,0,38,832,-4120.0,348.0,0,0,0
0.0,0,39,827,-4119.0,349.0,0,0,0
0.0,0,40,781,-4119.0,349.0,0,0,0
0.0,0,41,830,-4118.0,350.0,0,0,0
0.0,0,42,866,-4118.0,350.0,0,0,0
0.0,0,43,808,-4118.0,350.0,0,0,0
0.0,0,44,848,-4117.0,351.0,0,0,0
0.0,0,45,795,-4117.0,351.0,0,0,0
0.0,0,46,806,-4116.0,352.0,0,0,0
0.0,0,47,866,-4116.0,352.0,0,0,0
0.0,0,48,796,-4116.0,352.0,0,0,0
0.0,0,49,817,-4115.0,353.0,0,0,0
0.0,0,50,778,-4114.0,354.0,0,0,0
0.0,0,51,838,-4114.0,354.0,0,0,0
0.0,0,52,808,-4113.0,355.0,0,0,0
0.0,0,53,800,-4113.0,355.0,0,0,0
0.0,0,54,866,-4112.0,356.0,0,0,0
0.0,0,55,862,-4111.0,357.0,0,0,0
0.0,0,56,857,-4111.0,357.0,0,0,0
0.0,0,57,864,-4111.0,357.0,0,0,0
0.0,0,58,830,-4108.0,360.0,0,0,0
0.0,0,59,811,-4108.0,360.0,0,0,0
0.0,0,60,877,-4108.0,360.0,0,0,0
0.0,0,61,771,-4107.0,361.0,0,0,0
0.0,0,62,826,-4107.0,361.0,0,0,0
0.0,0,63,829,-4106.0,362.0,0,0,0
0.0,0,64,819,-4106.0,362.0,0,0,0
0.0,0,65,799,-4106.0,362.0,0,0,0
0.0,0,66,799,-4105.0,363.0,0,0,0
0.0,0,67,804,-4104.0,364.0,0,0,0
0.0,0,68,812,-4104.0,364.0,0,0,0
0.0,0,69,856,-4103.0,365.0,0,0,0
0.0,0,70,839,-4102.0,366.0,0,0,0
0.0,0,71,782,-4101.0,367.0,0,0,0
0.0,0,72,856,-4101.0,367.0,0,0,0
0.0,0,73,823,-4101.0,367.0,0,0,0
0.0,0,74,787,-4100.0,368.0,0,0,0
0.0,0,75,846,-4100.0,368.0,0,0,0
0.0,0,76,799,-4100.0,368.0,0,0,0
0.0,0,77,834,-4099.0,369.0,0,0,0
0.0,0,78,810,-4098.0,370.0,0,0,0
0.0,0,79,760,-4096.0,372.0,0,0,0
0.0,0,80,821,-4096.0,372.0,0,0,0
0.0,0,81,858,-4095.0,373.0,0,0,0
0.0,0,82,796,-4094.0,374.0,0,0,0
0.0,0,83,810,-4093.0,375.0,0,0,0
0.0,0,84,847,-4093.0,375.0,0,0,0
0.0,0,85,831,-4092.0,376.0,0,0,0
0.0,0,86,855,-4092.0,376.0,0,0,0
0.0,0,87,837,-4090.0,378.0,0,0,0
0.0,0,88,868,-4087.0,381.0,0,0,0
0.0,0,89,832,-4087.0,381.0,0,0,0
0.0,0,90,868,-4087.0,381.0,0,0,0
0.0,0,91,806,-4085.0,383.0,0,0,0
0.0,0,92,837,-4081.0,387.0,0,0,0
0.0,0,93,867,-4081.0,387.0,0,0,0
0.0,0,94,829,-4075.0,393.0,0,0,0
0.0,0,95,868,-4074.0,394.0,0,0,0
0.0,0,96,868,-4073.0,395.0,0,0,0
