alpha,instance_id,read_idx,hd,energy,delta_energy,is_target
0.0,0,0,469,-4447.0,21.0,0
0.0,0,1,481,-4446.0,22.0,0
0.0,0,2,466,-4445.0,23.0,0
0.0,0,3,471,-4444.0,24.0,0
0.0,0,4,482,-4444.0,24.0,0
0.0,0,5,490,-4443.0,25.0,0
0.0,0,6,497,-4443.0,25.0,0
0.0,0,7,487,-4443.0,25.0,0
0.0,0,8,498,-4442.0,26.0,0
0.0,0,9,464,-4442.0,26.0,0
0.0,0,10,466,-4441.0,27.0,0
0.0,0,11,461,-4441.0,27.0,0
0.0,0,12,495,-4441.0,27.0,0
0.0,0,13,492,-4441.0,27.0,0
0.0,0,14,451,-4441.0,27.0,0
0.0,0,15,516,-4441.0,27.0,0
0.0,0,16,519,-4441.0,27.0,0
0.0,0,17,500,-4440.0,28.0,0
0.0,0,18,525,-4440.0,28.0,0
0.0,0,19,481,-4440.0,28.0,0
0.0,0,20,490,-4440.0,28.0,0
0.0,0,21,494,-4440.0,28.0,0
0.0,0,22,524,-4440.0,28.0,0
0.0,0,23,493,-4439.0,29.0,0
0.0,0,24,517,-4439.0,29.0,0
0.0,0,25,497,-4439.0,29.0,0
0.0,0,26,466,-4439.0,29.0,0
0.0,0,27,491,-4439.0,29.0,0
0.0,0,28,489,-4439.0,29.0,0
0.0,0,29,469,-4439.0,29.0,0
0.0,0,30,479,-4438.0,30.0,0
0.0,0,31,475,-4438.0,30.0,0
0.0,0,32,496,-4438.0,30.0,0
0.0,0,33,504,-4438.0,30.0,0
0.0,0,34,524,-4437.0,31.0,0
0.0,0,35,444,-4437.0,31.0,0
0.0,0,36,492,-4437.0,31.0,0
0.0,0,37,517,-4437.0,31.0,0
0.0,0,38,479,-4437.0,31.0,0
0.0,0,39,473,-4437.0,31.0,0
0.0,0,40,483,-4437.0,31.0,0
0.0,0,41,514,-4437.0,31.0,0
0.0,0,42,472,-4437.0,31.0,0
0.0,0,43,506,-4437.0,31.0,0
0.0,0,44,521,-4437.0,31.0,0
0.0,0,45,476,-4437.0,31.0,0
0.0,0,46,498,-4436.0,32.0,0
0.0,0,47,481,-4436.0,32.0,0
0.0,0,48,488,-4436.0,32.0,0
0.0,0,49,486,-4436.0,32.0,0
0.0,0,50,479,-4436.0,32.0,0
0.0,0,51,488,-4436.0,32.0,0
0.0,0,52,458,-4436.0,32.0,0
0.0,0,53,495,-4436.0,32.0,0
0.0,0,54,491,-4436.0,32.0,0
0.0,0,55,463,-4436.0,32.0,0
0.0,0,56,481,-4435.0,33.0,0
0.0,0,57,504,-4435.0,33.0,0
0.0,0,58,478,-4435.0,33.0,0
0.0,0,59,488,-4435.0,33.0,0
0.0,0,60,501,-4435.0,33.0,0
0.0,0,61,493,-4435.0,33.0,0
0.0,0,62,491,-4435.0,33.0,0
0.0,0,63,513,-4435.0,33.0,0
0.0,0,64,493,-4435.0,33.0,0
0.0,0,65,474,-4435.0,33.0,0
0.0,0,66,496,-4434.0,34.0,0
0.0,0,67,494,-4434.0,34.0,0
0.0,0,68,532,-4434.0,34.0,0
0.0,0,69,514,-4434.0,34.0,0
0.0,0,70,547,-4434.0,34.0,0
0.0,0,71,516,-4434.0,34.0,0
0.0,0,72,492,-4434.0,34.0,0
