alpha,instance_id,read_idx,hd,energy,delta_energy,is_target,is_R_gs,eng_ok
0.0,0,0,458,-4451.0,17.0,0,0,0
0.0,0,1,486,-4450.0,18.0,0,0,0
0.0,0,2,462,-4450.0,18.0,0,0,0
0.0,0,3,459,-4450.0,18.0,0,0,0
0.0,0,4,487,-4448.0,20.0,0,0,0
0.0,0,5,477,-4446.0,22.0,0,0,0
0.0,0,6,486,-4446.0,22.0,0,0,0
0.0,0,7,478,-4446.0,22.0,0,0,0
0.0,0,8,466,-4445.0,23.0,0,0,0
0.0,0,9,471,-4445.0,23.0,0,0,0
0.0,0,10,486,-4445.0,23.0,0,0,0
0.0,0,11,457,-4445.0,23.0,0,0,0
0.0,0,12,457,-4444.0,24.0,0,0,0
0.0,0,13,484,-4444.0,24.0,0,0,0
0.0,0,14,471,-4444.0,24.0,0,0,0
0.0,0,15,482,-4443.0,25.0,0,0,0
0.0,0,16,482,-4443.0,25.0,0,0,0
0.0,0,17,486,-4442.0,26.0,0,0,0
0.0,0,18,505,-4442.0,26.0,0,0,0
0.0,0,19,497,-4442.0,26.0,0,0,0
0.0,0,20,460,-4442.0,26.0,0,0,0
0.0,0,21,490,-4441.0,27.0,0,0,0
0.0,0,22,492,-4441.0,27.0,0,0,0
0.0,0,23,503,-4441.0,27.0,0,0,0
0.0,0,24,466,-4441.0,27.0,0,0,0
0.0,0,25,507,-4441.0,27.0,0,0,0
0.0,0,26,463,-4441.0,27.0,0,0,0
0.0,0,27,513,-4441.0,27.0,0,0,0
0.0,0,28,483,-4441.0,27.0,0,0,0
0.0,0,29,484,-4440.0,28.0,0,0,0
0.0,0,30,487,-4440.0,28.0,0,0,0
0.0,0,31,477,-4440.0,28.0,0,0,0
0.0,0,32,485,-4440.0,28.0,0,0,0
0.0,0,33,478,-4440.0,28.0,0,0,0
0.0,0,34,487,-4440.0,28.0,0,0,0
0.0,0,35,508,-4440.0,28.0,0,0,0
0.0,0,36,487,-4440.0,28.0,0,0,0
0.0,0,37,469,-4439.0,29.0,0,0,0
0.0,0,38,497,-4439.0,29.0,0,0,0
0.0,0,39,461,-4439.0,29.0,0,0,0
0.0,0,40,504,-4439.0,29.0,0,0,0
0.0,0,41,518,-4439.0,29.0,0,0,0
0.0,0,42,473,-4438.0,30.0,0,0,0
0.0,0,43,462,-4438.0,30.0,0,0,0
0.0,0,44,530,-4438.0,30.0,0,0,0
0.0,0,45,508,-4438.0,30.0,0,0,0
0.0,0,46,489,-4438.0,30.0,0,0,0
0.0,0,47,519,-4438.0,30.0,0,0,0
0.0,0,48,522,-4438.0,30.0,0,0,0
0.0,0,49,481,-4437.0,31.0,0,0,0
0.0,0,50,502,-4437.0,31.0,0,0,0
0.0,0,51,510,-4437.0,31.0,0,0,0
0.0,0,52,536,-4436.0,32.0,0,0,0
0.0,0,53,524,-4436.0,32.0,0,0,0
0.0,0,54,488,-4436.0,32.0,0,0,0
0.0,0,55,470,-4435.0,33.0,0,0,0
0.0,0,56,522,-4435.0,33.0,0,0,0
0.0,0,57,507,-4435.0,33.0,0,0,0
0.0,0,58,461,-4435.0,33.0,0,0,0
0.0,0,59,543,-4435.0,33.0,0,0,0
0.0,0,60,507,-4435.0,33.0,0,0,0
0.0,0,61,514,-4435.0,33.0,0,0,0
0.0,0,62,520,-4435.0,33.0,0,0,0
0.0,0,63,475,-4434.0,34.0,0,0,0
0.0,0,64,506,-4434.0,34.0,0,0,0
0.0,0,65,485,-4434.0,34.0,0,0,0
0.0,0,66,498,-4433.0,35.0,0,0,0
0.0,0,67,544,-4433.0,35.0,0,0,0
0.0,0,68,528,-4433.0,35.0,0,0,0
0.0,0,69,500,-4433.0,35.0,0,0,0
0.0,0,70,521,-4433.0,35.0,0,0,0
0.0,0,71,505,-4433.0,35.0,0,0,0
0.0,0,72,504,-4432.0,36.0,0,0,0
0.0,0,73,497,-4432.0,36.0,0,0,0
0.0,0,74,497,-4432.0,36.0,0,0,0
0.0,0,75,478,-4432.0,36.0,0,0,0
0.0,0,76,483,-4432.0,36.0,0,0,0
0.0,0,77,469,-4432.0,36.0,0,0,0
0.0,0,78,494,-4431.0,37.0,0,0,0
0.0,0,79,484,-4431.0,37.0,0,0,0
0.0,0,80,527,-4431.0,37.0,0,0,0
0.0,0,81,489,-4431.0,37.0,0,0,0
0.0,0,82,497,-4431.0,37.0,0,0,0
0.0,0,83,508,-4431.0,37.0,0,0,0
0.0,0,84,528,-4431.0,37.0,0,0,0
0.0,0,85,516,-4431.0,37.0,0,0,0
0.0,0,86,485,-4430.0,38.0,0,0,0
0.0,0,87,488,-4430.0,38.0,0,0,0
0.0,0,88,487,-4430.0,38.0,0,0,0
0.0,0,89,521,-4430.0,38.0,0,0,0
0.0,0,90,489,-4430.0,38.0,0,0,0
