alpha,instance_id,read_idx,hd,energy,delta_energy,is_target,is_R_gs,eng_ok
0.0,0,0,468,-4454.0,14.0,0,0,0
0.0,0,1,432,-4448.0,20.0,0,0,0
0.0,0,2,470,-4447.0,21.0,0,0,0
0.0,0,3,441,-4446.0,22.0,0,0,0
0.0,0,4,503,-4446.0,22.0,0,0,0
0.0,0,5,484,-4446.0,22.0,0,0,0
0.0,0,6,497,-4444.0,24.0,0,0,0
0.0,0,7,513,-4444.0,24.0,0,0,0
0.0,0,8,499,-4444.0,24.0,0,0,0
0.0,0,9,487,-4444.0,24.0,0,0,0
0.0,0,10,478,-4443.0,25.0,0,0,0
0.0,0,11,493,-4443.0,25.0,0,0,0
0.0,0,12,466,-4443.0,25.0,0,0,0
0.0,0,13,505,-4443.0,25.0,0,0,0
0.0,0,14,492,-4443.0,25.0,0,0,0
0.0,0,15,515,-4443.0,25.0,0,0,0
0.0,0,16,452,-4443.0,25.0,0,0,0
0.0,0,17,515,-4442.0,26.0,0,0,0
0.0,0,18,540,-4442.0,26.0,0,0,0
0.0,0,19,496,-4442.0,26.0,0,0,0
0.0,0,20,518,-4442.0,26.0,0,0,0
0.0,0,21,450,-4442.0,26.0,0,0,0
0.0,0,22,434,-4442.0,26.0,0,0,0
0.0,0,23,510,-4441.0,27.0,0,0,0
0.0,0,24,478,-4441.0,27.0,0,0,0
0.0,0,25,530,-4441.0,27.0,0,0,0
0.0,0,26,458,-4441.0,27.0,0,0,0
0.0,0,27,513,-4440.0,28.0,0,0,0
0.0,0,28,541,-4440.0,28.0,0,0,0
0.0,0,29,503,-4440.0,28.0,0,0,0
0.0,0,30,501,-4440.0,28.0,0,0,0
0.0,0,31,539,-4440.0,28.0,0,0,0
0.0,0,32,469,-4440.0,28.0,0,0,0
0.0,0,33,505,-4440.0,28.0,0,0,0
0.0,0,34,494,-4440.0,28.0,0,0,0
0.0,0,35,462,-4440.0,28.0,0,0,0
0.0,0,36,484,-4439.0,29.0,0,0,0
0.0,0,37,509,-4439.0,29.0,0,0,0
0.0,0,38,506,-4439.0,29.0,0,0,0
0.0,0,39,483,-4439.0,29.0,0,0,0
0.0,0,40,506,-4439.0,29.0,0,0,0
0.0,0,41,486,-4439.0,29.0,0,0,0
0.0,0,42,496,-4439.0,29.0,0,0,0
0.0,0,43,478,-4439.0,29.0,0,0,0
0.0,0,44,526,-4439.0,29.0,0,0,0
0.0,0,45,507,-4438.0,30.0,0,0,0
0.0,0,46,501,-4438.0,30.0,0,0,0
0.0,0,47,534,-4438.0,30.0,0,0,0
0.0,0,48,512,-4438.0,30.0,0,0,0
0.0,0,49,496,-4438.0,30.0,0,0,0
0.0,0,50,502,-4438.0,30.0,0,0,0
0.0,0,51,488,-4438.0,30.0,0,0,0
0.0,0,52,515,-4438.0,30.0,0,0,0
0.0,0,53,523,-4438.0,30.0,0,0,0
0.0,0,54,471,-4438.0,30.0,0,0,0
0.0,0,55,482,-4438.0,30.0,0,0,0
0.0,0,56,525,-4438.0,30.0,0,0,0
0.0,0,57,495,-4437.0,31.0,0,0,0
0.0,0,58,514,-4437.0,31.0,0,0,0
0.0,0,59,479,-4437.0,31.0,0,0,0
0.0,0,60,507,-4437.0,31.0,0,0,0
0.0,0,61,507,-4437.0,31.0,0,0,0
0.0,0,62,525,-4437.0,31.0,0,0,0
0.0,0,63,484,-4437.0,31.0,0,0,0
0.0,0,64,516,-4437.0,31.0,0,0,0
0.0,0,65,510,-4437.0,31.0,0,0,0
0.0,0,66,470,-4437.0,31.0,0,0,0
0.0,0,67,495,-4437.0,31.0,0,0,0
0.0,0,68,534,-4437.0,31.0,0,0,0
0.0,0,69,494,-4437.0,31.0,0,0,0
0.0,0,70,499,-4437.0,31.0,0,0,0
0.0,0,71,538,-4436.0,32.0,0,0,0
0.0,0,72,500,-4436.0,32.0,0,0,0
0.0,0,73,472,-4436.0,32.0,0,0,0
0.0,0,74,518,-4436.0,32.0,0,0,0
0.0,0,75,488,-4436.0,32.0,0,0,0
0.0,0,76,503,-4436.0,32.0,0,0,0
0.0,0,77,502,-4436.0,32.0,0,0,0
0.0,0,78,484,-4436.0,32.0,0,0,0
0.0,0,79,516,-4436.0,32.0,0,0,0
0.0,0,80,524,-4436.0,32.0,0,0,0
0.0,0,81,504,-4436.0,32.0,0,0,0
0.0,0,82,493,-4436.0,32.0,0,0,0
0.0,0,83,532,-4436.0,32.0,0,0,0
0.0,0,84,468,-4436.0,32.0,0,0,0
0.0,0,85,495,-4436.0,32.0,0,0,0
0.0,0,86,529,-4436.0,32.0,0,0,0
0.0,0,87,516,-4435.0,33.0,0,0,0
0.0,0,88,487,-4435.0,33.0,0,0,0
0.0,0,89,522,-4435.0,33.0,0,0,0
0.0,0,90,472,-4435.0,33.0,0,0,0
0.0,0,91,472,-4435.0,33.0,0,0,0
0.0,0,92,526,-4435.0,33.0,0,0,0
0.0,0,93,512,-4435.0,33.0,0,0,0
0.0,0,94,455,-4435.0,33.0,0,0,0
0.0,0,95,482,-4435.0,33.0,0,0,0
0.0,0,96,490,-4434.0,34.0,0,0,0
0.0,0,97,514,-4434.0,34.0,0,0,0
0.0,0,98,514,-4434.0,34.0,0,0,0
0.0,0,99,486,-4434.0,34.0,0,0,0
1e-09,0,0,448,-4450.000020463,18.000004585,0,0,0
1e-09,0,1,475,-4450.000020191,18.000004857,0,0,0
1e-09,0,2,478,-4449.000020176,19.000004872,0,0,0
1e-09,0,3,497,-4449.00001996,19.000005088,0,0,0
1e-09,0,4,510,-4449.000019891,19.000005157,0,0,0
1e-09,0,5,475,-4448.000020156,20.000004892,0,0,0
1e-09,0,6,483,-4448.000020139,20.000004909,0,0,0
1e-09,0,7,509,-4448.000019943,20.000005105,0,0,0
1e-09,0,8,481,-4447.000020165,21.000004883,0,0,0
1e-09,0,9,487,-4447.000019967,21.000005081,0,0,0
1e-09,0,10,509,-4447.000019801,21.000005247,0,0,0
1e-09,0,11,476,-4446.000020174,22.000004874,0,0,0
1e-09,0,12,471,-4446.00002014,22.000004908,0,0,0
1e-09,0,13,477,-4446.000020132,22.000004916,0,0,0
1e-09,0,14,483,-4446.000020058,22.00000499,0,0,0
1e-09,0,15,501,-4446.000020008,22.00000504,0,0,0
1e-09,0,16,512,-4446.000019881,22.000005167,0,0,0
1e-09,0,17,529,-4446.000019593,22.000005455,0,0,0
1e-09,0,18,446,-4445.000020557,23.000004491,0,0,0
1e-09,0,19,489,-4445.000020067,23.000004981,0,0,0
1e-09,0,20,488,-4445.000020032,23.000005016,0,0,0
1e-09,0,21,502,-4445.000019802,23.000005246,0,0,0
1e-09,0,22,490,-4444.000020083,24.000004965,0,0,0
1e-09,0,23,495,-4444.000020005,24.000005043,0,0,0
1e-09,0,24,506,-4444.000019868,24.00000518,0,0,0
1e-09,0,25,535,-4444.00001958,24.000005468,0,0,0
1e-09,0,26,464,-4443.000020309,25.000004739,0,0,0
1e-09,0,27,474,-4443.000020158,25.00000489,0,0,0
1e-09,0,28,491,-4443.000020088,25.00000496,0,0,0
1e-09,0,29,499,-4443.000019939,25.000005109,0,0,0
1e-09,0,30,499,-4443.000019894,25.000005154,0,0,0
1e-09,0,31,523,-4443.000019736,25.000005312,0,0,0
1e-09,0,32,543,-4443.000019446,25.000005602,0,0,0
1e-09,0,33,460,-4442.000020388,26.00000466,0,0,0
1e-09,0,34,474,-4442.000020182,26.000004866,0,0,0
1e-09,0,35,493,-4442.000019975,26.000005073,0,0,0
1e-09,0,36,496,-4442.000019927,26.000005121,0,0,0
1e-09,0,37,515,-4442.000019894,26.000005154,0,0,0
1e-09,0,38,507,-4442.000019892,26.000005156,0,0,0
1e-09,0,39,503,-4442.000019848,26.0000052,0,0,0
1e-09,0,40,522,-4442.000019656,26.000005392,0,0,0
1e-09,0,41,537,-4442.000019456,26.000005592,0,0,0
1e-09,0,42,472,-4441.000020244,27.000004804,0,0,0
1e-09,0,43,478,-4441.00002022,27.000004828,0,0,0
1e-09,0,44,500,-4441.000020064,27.000004984,0,0,0
1e-09,0,45,488,-4441.000020006,27.000005042,0,0,0
1e-09,0,46,497,-4441.000020002,27.000005046,0,0,0
1e-09,0,47,485,-4441.000019992,27.000005056,0,0,0
1e-09,0,48,490,-4441.000019988,27.00000506,0,0,0
1e-09,0,49,496,-4441.000019933,27.000005115,0,0,0
1e-09,0,50,504,-4441.000019901,27.000005147,0,0,0
1e-09,0,51,508,-4441.000019883,27.000005165,0,0,0
1e-09,0,52,514,-4441.000019882,27.000005166,0,0,0
1e-09,0,53,522,-4441.000019703,27.000005345,0,0,0
1e-09,0,54,528,-4441.000019613,27.000005435,0,0,0
