# target,000000011111100
i,j,weight
0,0,-1.100000
0,1,1.000000
0,2,1.000000
0,3,0.900000
0,4,-0.900000
0,5,1.100000
0,6,-1.000000
0,7,1.100000
0,8,-1.000000
0,9,1.000000
0,10,1.100000
0,11,1.000000
0,12,1.100000
0,13,1.100000
0,14,-0.900000
1,1,1.400000
1,2,-1.000000
1,3,1.000000
1,4,0.800000
1,5,1.000000
1,6,1.000000
1,7,-1.000000
1,8,-1.000000
1,9,0.900000
1,10,-1.000000
1,11,0.900000
1,12,1.100000
1,13,-1.000000
1,14,1.000000
2,2,1.100000
2,3,1.000000
2,4,0.900000
2,5,-1.000000
2,6,-1.100000
2,7,1.000000
2,8,1.000000
2,9,-0.900000
2,10,1.000000
2,11,-1.000000
2,12,1.000000
2,13,-1.000000
2,14,-1.000000
3,3,-1.000000
3,4,0.900000
3,5,1.100000
3,6,1.100000
3,7,1.100000
3,8,1.100000
3,9,1.000000
3,10,1.100000
3,11,-1.000000
3,12,-0.900000
3,13,1.100000
3,14,-1.000000
4,4,1.000000
4,5,-0.900000
4,6,1.100000
4,7,1.100000
4,8,-1.000000
4,9,1.000000
4,10,1.200000
4,11,1.100000
4,12,1.100000
4,13,0.900000
4,14,-1.000000
5,5,0.800000
5,6,0.900000
5,7,1.000000
5,8,-0.900000
5,9,1.000000
5,10,1.000000
5,11,-1.000000
5,12,1.200000
5,13,1.000000
5,14,-0.900000
6,6,1.400000
6,7,-1.100000
6,8,1.100000
6,9,-1.000000
6,10,1.000000
6,11,1.000000
6,12,1.100000
6,13,-1.000000
6,14,1.000000
7,7,-1.000000
7,8,-1.000000
7,9,-1.000000
7,10,-1.000000
7,11,-1.200000
7,12,-1.100000
7,13,1.000000
7,14,1.100000
8,8,-1.300000
8,9,-1.100000
8,10,-0.900000
8,11,-1.000000
8,12,0.900000
8,13,1.100000
8,14,1.100000
9,9,-1.300000
9,10,1.000000
9,11,1.000000
9,12,-1.100000
9,13,1.000000
9,14,1.100000
10,10,-1.500000
10,11,-1.000000
10,12,-1.100000
10,13,1.100000
10,14,1.000000
11,11,-1.000000
11,12,-1.000000
11,13,-1.000000
11,14,-1.100000
12,12,-1.200000
12,13,1.000000
12,14,-1.000000
13,13,1.100000
13,14,0.800000
14,14,1.000000
