# target,001000001000000
i,j,weight
0,0,1.929080
0,3,-1.237122
0,5,2.226823
0,6,-0.568564
0,8,2.234254
0,14,-2.247624
1,1,8.167206
1,3,-2.330325
1,5,2.175388
1,7,-2.562913
1,8,1.208429
1,9,-2.967934
1,10,-1.383878
1,13,-2.736561
2,2,-2.972657
2,3,-1.452803
2,6,-2.639119
2,9,1.006963
2,10,0.304295
2,12,1.965694
2,13,-2.279692
3,3,10.523735
3,8,-1.207244
3,9,-2.303077
3,12,-3.255992
3,14,-1.297205
4,4,3.311025
4,7,-1.391875
4,8,-1.919150
4,10,2.253398
5,5,2.769980
5,6,-1.141356
5,9,2.346916
5,12,-1.091651
5,14,-2.769980
6,6,8.651885
6,7,-0.541675
6,9,-2.317162
7,7,8.702388
7,9,-2.503951
7,10,1.702763
7,12,-2.979829
7,13,-0.586119
7,14,-3.061318
8,8,-2.099115
8,9,-1.056794
8,12,2.099115
8,14,1.736715
9,9,5.614255
9,12,-1.611639
9,13,1.070767
9,14,1.892352
10,10,2.920823
10,11,-1.138083
10,12,-1.324182
10,13,2.385754
10,14,-1.517152
11,11,3.330157
11,12,2.866037
11,13,-2.192074
11,14,-1.253712
12,12,0.772874
12,14,-1.080784
13,13,4.994687
14,14,5.888911
