# target,0010000010000000101100111001001011101010110000100011110110100001110100011100101110100111100100000101
i,j,weight
0,0,30.127061
0,1,-0.195913
0,2,3.575027
0,3,-1.797452
0,4,-0.274765
0,5,1.303196
0,6,-0.215187
0,7,-0.384312
0,8,2.099417
0,9,-2.755978
0,10,-3.717262
0,11,0.517624
0,12,-1.525485
0,13,0.159805
0,14,1.908258
0,15,-1.862038
0,16,3.628910
0,17,-0.998684
0,18,6.776522
0,19,6.415651
0,20,-0.199841
0,21,-0.008155
0,22,7.556369
0,23,6.507100
0,24,3.961131
0,25,-1.233813
0,26,1.745805
0,27,7.554869
0,28,-0.425344
0,29,-2.203394
0,30,6.870606
0,31,-2.387524
0,32,7.218253
0,33,3.429883
0,34,1.657348
0,35,-2.114322
0,36,7.746303
0,37,-0.630611
0,38,2.866638
0,39,-1.249990
0,40,5.408408
0,41,3.437808
0,42,-2.650829
0,43,-1.406033
0,44,1.022845
0,45,-3.111477
0,46,2.916787
0,47,-0.099434
0,48,-0.345594
0,49,-1.738811
0,50,7.195079
0,51,4.624228
0,52,8.008773
0,53,4.053232
0,54,-0.697198
0,55,6.093722
0,56,3.583486
0,57,-1.356077
0,58,2.422160
0,59,-1.007126
0,60,0.737210
0,61,-0.909040
0,62,-2.317789
0,63,5.513089
0,64,7.743233
0,65,9.466811
0,66,-2.448273
0,67,7.003687
0,68,-1.432983
0,69,-0.427641
0,70,-1.973226
0,71,5.731307
0,72,5.997569
0,73,4.125978
0,74,-0.606105
0,75,-2.046435
0,76,5.439394
0,77,-0.100208
0,78,5.809629
0,79,7.291290
0,80,5.590978
0,81,1.014177
0,82,3.731536
0,83,0.338268
0,84,-3.040283
0,85,3.207953
0,86,3.513832
0,87,5.375246
0,88,7.437160
0,89,-0.146095
0,90,-1.001841
0,91,6.806530
0,92,-0.179763
0,93,-0.943890
0,94,-0.546218
0,95,-0.208744
0,96,-0.081989
0,97,5.371642
0,98,-2.580986
0,99,4.399034
1,1,38.342740
1,2,5.494690
1,3,0.053665
1,4,-0.348180
1,5,-1.241895
1,6,-0.510298
1,7,-0.149079
1,8,3.590402
1,9,-0.904261
1,10,-0.028257
1,11,-0.278996
1,12,0.394366
1,13,0.568081
1,14,-3.561318
1,15,0.833361
1,16,7.708530
1,17,0.707203
1,18,3.826186
1,19,5.352399
1,20,-3.345535
1,21,-0.944466
1,22,4.591711
1,23,5.329227
1,24,4.841412
1,25,-1.067451
1,26,1.642766
1,27,3.076353
1,28,-2.271406
1,29,-0.349068
1,30,5.799791
1,31,1.303598
1,32,5.843599
1,33,7.363752
1,34,4.091386
1,35,-2.335113
1,36,6.449024
1,37,-0.476462
1,38,5.164163
1,39,-1.103830
1,40,8.104426
1,41,4.296112
1,42,-0.474604
1,43,-1.580146
1,44,1.196580
1,45,-0.482077
1,46,5.356804
1,47,-0.891433
1,48,-3.039659
1,49,-1.411386
1,50,3.784901
1,51,4.554031
1,52,6.228820
1,53,4.885862
1,54,-0.734210
1,55,5.244965
1,56,5.899693
1,57,-1.606773
1,58,3.058386
1,59,0.302187
1,60,-2.032188
1,61,-0.390348
1,62,-0.613536
1,63,5.633568
1,64,4.753208
1,65,4.676066
1,66,-0.821883
1,67,6.587588
1,68,-1.642660
1,69,-0.605735
1,70,-1.858002
1,71,3.265220
1,72,4.067399
1,73,6.373634
1,74,-0.646246
1,75,0.668510
1,76,7.215365
1,77,-2.925090
1,78,4.177271
1,79,5.186355
1,80,6.151001
1,81,-1.038058
1,82,3.960853
1,83,0.469143
1,84,-0.554802
1,85,5.737001
1,86,6.238601
1,87,6.297359
1,88,6.567891
1,89,-0.268071
1,90,-2.519336
1,91,6.967273
1,92,1.289902
1,93,-2.386613
1,94,-0.692312
1,95,-1.066155
1,96,0.164090
1,97,6.128019
1,98,-2.185029
1,99,3.216831
2,2,-40.697089
2,3,5.460414
2,4,5.033953
2,5,2.659154
2,6,6.060081
2,7,9.346200
2,8,-11.961410
2,9,3.332368
2,10,4.266795
2,11,6.261978
2,12,5.750966
2,13,6.128663
2,14,6.420743
2,15,4.930651
2,16,-14.402053
2,17,7.724865
2,18,-10.790947
2,19,-12.573143
2,20,6.168908
2,21,3.190611
2,22,-12.097183
2,23,-6.336387
2,24,-10.696924
2,25,5.172005
2,26,2.369250
2,27,-10.943156
2,28,7.054138
2,29,6.734042
2,30,-12.179130
2,31,6.469219
2,32,-12.182168
2,33,-7.810342
2,34,-10.008850
2,35,7.669499
2,36,-8.547281
2,37,5.998903
2,38,-10.125091
2,39,3.840966
2,40,-3.921728
