# target,00100000100000001011001110010010111010101100001000
i,j,weight
0,0,57.499133
0,1,-9.029083
0,2,5.661101
0,3,-4.440512
0,4,-5.162995
0,5,-8.624742
0,6,-6.648889
0,7,-4.871101
0,8,5.290682
0,9,-9.287397
0,10,-8.578261
0,11,-11.730346
0,12,-6.881509
0,13,-10.148096
0,14,-11.180238
0,15,-10.067536
0,16,4.519407
0,17,-4.976186
0,18,6.633668
0,19,5.678763
0,20,-4.465477
0,21,-11.834800
0,22,4.701358
0,23,8.838224
0,24,9.654445
0,25,-10.782384
0,26,-8.601142
0,27,11.416843
0,28,-7.971175
0,29,-7.981929
0,30,11.069309
0,31,-6.323905
0,32,4.945657
0,33,10.373860
0,34,5.658647
0,35,-7.317057
0,36,6.797200
0,37,-5.698703
0,38,9.520136
0,39,-4.542689
0,40,8.399949
0,41,4.910694
0,42,-7.168395
0,43,-11.680903
0,44,-5.552125
0,45,-11.378238
0,46,7.796004
0,47,-5.086031
0,48,-7.684943
0,49,-11.167429
1,1,36.117465
1,2,10.513333
1,3,-4.448178
1,4,-8.519541
1,5,-8.441418
1,6,-8.619181
1,7,-11.329492
1,8,4.529704
1,9,-10.725913
1,10,-7.001926
1,11,-5.327756
1,12,-5.499031
1,13,-10.258751
1,14,-10.862556
1,15,-6.171979
1,16,11.016390
1,17,-10.635660
1,18,8.200803
1,19,6.993726
1,20,-5.616787
1,21,-8.047958
1,22,11.239646
1,23,6.720927
1,24,10.991033
1,25,-6.618704
1,26,-4.786013
1,27,8.129173
1,28,-5.641497
1,29,-7.100706
1,30,4.926688
1,31,-4.352240
1,32,10.975001
1,33,11.113487
1,34,10.129441
1,35,-4.179842
1,36,9.110807
1,37,-5.604444
1,38,8.258206
1,39,-9.368992
1,40,5.259968
1,41,11.666384
1,42,-4.819002
1,43,-8.394925
1,44,-11.546223
1,45,-8.592664
1,46,6.491020
1,47,-8.324617
1,48,-4.231941
1,49,-4.403648
2,2,-47.991251
2,3,4.688957
2,4,9.637421
2,5,9.035766
2,6,7.566690
2,7,6.658657
2,8,-10.067220
2,9,4.628365
2,10,10.115426
2,11,4.743329
2,12,9.588795
2,13,6.483133
2,14,10.131948
2,15,11.579586
2,16,-11.165607
2,17,6.907595
2,18,-11.338115
2,19,-10.886333
2,20,7.900054
2,21,4.903096
2,22,-10.766130
2,23,-6.788924
2,24,-8.063597
2,25,9.714185
2,26,8.449199
2,27,-6.416945
2,28,8.724288
2,29,5.949528
2,30,-7.858997
2,31,5.665905
2,32,-7.449188
2,33,-8.537690
2,34,-9.553065
2,35,9.356842
2,36,-9.695271
2,37,4.914583
2,38,-6.603025
2,39,7.561730
2,40,-7.246350
2,41,-9.484069
2,42,10.558926
2,43,9.159913
2,44,5.740894
2,45,8.646143
2,46,-10.478715
2,47,9.287051
2,48,6.332026
2,49,7.577278
3,3,64.028788
3,4,-11.019403
3,5,-10.354773
3,6,-11.348013
3,7,-9.742330
3,8,11.922314
3,9,-8.891926
3,10,-10.781094
3,11,-4.499284
3,12,-11.743196
