# target,00100000100000001011001110010010111010101100001000111101101000011101000111001011101001111001000001011110011011010100100100110011000001000101100111110000100000000010011001011000111110001100001010110010000001110100101111110010001001000000010000111010110111001000101001101101001000110101110011001010110000010100110100011000010011010010100111000011101111001010011110101010011011011111100110110110111110100110010000001011011100001001000101111101110110110101110000100011111001101101111010111011101001001010
i,j,weight
0,0,60.730339
0,1,-10.223070
0,2,10.799010
0,3,-5.131778
0,4,-8.919081
0,5,-4.974772
0,6,-4.884289
0,7,-5.460575
0,8,11.137657
0,9,-4.775353
0,10,-4.417272
0,11,-11.808305
0,12,-7.778841
0,13,-5.192401
0,14,-10.726122
0,15,-4.945617
0,16,8.366864
0,17,-4.040536
0,18,4.312654
0,19,6.985032
0,20,-7.466965
0,21,-4.476048
0,22,7.038057
0,23,6.410301
0,24,10.082105
0,25,-5.845269
0,26,-5.103834
0,27,9.520307
0,28,-11.509874
0,29,-6.065286
0,30,7.585829
0,31,-7.752282
0,32,6.347362
0,33,7.029517
0,34,11.749692
0,35,-11.186391
0,36,11.833489
0,37,-9.694719
0,38,9.300615
0,39,-9.539965
0,40,7.478403
0,41,5.070603
0,42,-4.561104
0,43,-8.194025
0,44,-9.976453
0,45,-8.221171
0,46,4.429692
0,47,-9.045645
0,48,-5.922602
0,49,-9.139663
0,50,6.447981
0,51,9.123449
0,52,9.973089
0,53,5.973275
0,54,-8.204849
0,55,7.701527
0,56,9.176115
0,57,-11.831677
0,58,10.633821
0,59,-9.262963
0,60,-11.225118
0,61,-8.710646
0,62,-9.121821
0,63,4.715355
0,64,8.628157
0,65,8.973328
0,66,-6.975096
0,67,6.956863
0,68,-4.587406
0,69,-7.820957
0,70,-8.360176
0,71,6.965796
0,72,11.250602
0,73,11.107690
0,74,-9.110095
0,75,-9.310932
0,76,10.357248
0,77,-11.601682
0,78,11.424772
0,79,11.345916
0,80,4.587801
0,81,-5.210470
0,82,9.960743
0,83,-9.916297
0,84,-4.858618
0,85,7.121325
0,86,5.273243
0,87,5.428753
0,88,6.361836
0,89,-8.437044
0,90,-11.221058
0,91,6.101199
0,92,-4.393651
0,93,-5.314659
0,94,-11.025986
0,95,-6.986004
0,96,-10.184966
0,97,10.420031
0,98,-9.744515
0,99,4.849791
0,100,7.779537
0,101,11.315545
0,102,4.699152
0,103,-7.590137
0,104,-7.748198
0,105,6.664895
0,106,5.312567
0,107,-10.455972
0,108,11.850137
0,109,10.778875
0,110,-6.347458
0,111,8.617952
0,112,-8.473602
0,113,10.308266
0,114,-6.134865
0,115,-7.742235
0,116,11.935590
0,117,-9.281490
0,118,-8.087015
0,119,7.668095
0,120,-10.533809
0,121,-8.543159
0,122,4.426581
0,123,11.134639
0,124,-8.092472
0,125,-5.749128
0,126,8.536833
0,127,6.736539
0,128,-5.590612
0,129,-11.380653
0,130,-8.752939
0,131,-9.692392
0,132,-10.287689
0,133,11.185277
0,134,-6.271733
0,135,-9.343519
0,136,-9.006334
0,137,4.260499
0,138,-6.241109
0,139,10.430454
0,140,4.151577
0,141,-9.230923
0,142,-9.580011
0,143,7.829255
0,144,11.717052
0,145,5.029084
0,146,4.570172
0,147,11.859699
0,148,-10.811142
0,149,-7.461427
0,150,-5.953752
0,151,-7.402730
0,152,11.337703
0,153,-6.303873
0,154,-7.768783
0,155,-4.632600
0,156,-6.177192
0,157,-9.610746
0,158,-7.381830
0,159,-10.161850
0,160,-10.290445
0,161,-6.976855
0,162,11.603153
0,163,-6.982739
0,164,-4.643305
0,165,10.048665
0,166,10.274759
0,167,-8.086762
0,168,-6.989520
0,169,5.066616
0,170,-10.536825
0,171,9.837931
0,172,4.512010
0,173,-6.766177
0,174,-8.005307
0,175,-4.606985
0,176,8.056460
0,177,4.008905
0,178,8.007673
0,179,7.649505
0,180,8.344611
0,181,-7.376834
0,182,-9.643214
0,183,-8.761518
0,184,4.827924
0,185,11.450580
0,186,-4.397181
0,187,-11.561451
0,188,-9.258606
0,189,-7.348005
0,190,9.625882
0,191,-5.274361
0,192,6.000030
0,193,-7.169085
0,194,9.322103
0,195,10.339168
0,196,-7.382698
0,197,-4.441505
0,198,5.308924
0,199,-6.290958
0,200,-7.532931
0,201,-7.596197
0,202,-11.346856
0,203,-8.946300
0,204,-4.010755
0,205,9.628691
0,206,8.978933
0,207,7.106565
0,208,-4.456256
0,209,7.390542
0,210,-7.006927
0,211,-6.890593
0,212,5.440613
0,213,-11.698809
0,214,8.542327
0,215,10.530411
0,216,10.903118
0,217,5.193468
0,218,6.891917
0,219,10.919310
0,220,-8.906752
0,221,-8.472543
0,222,5.390942
0,223,-7.008768
0,224,-5.147137
0,225,-4.271822
0,226,10.537883
0,227,-11.482713
0,228,-8.481994
0,229,10.590207
0,230,-6.415986
0,231,-9.870154
0,232,-10.171178
0,233,-10.684060
0,234,-4.223991
0,235,-6.527035
0,236,-9.736976
0,237,9.678079
0,238,-4.601298
0,239,-11.608766
0,240,-11.725808
0,241,-4.124311
0,242,10.961756
0,243,7.880228
0,244,9.766903
0,245,-6.782245
0,246,9.071736
0,247,-6.951417
0,248,8.199786
0,249,10.966117
0,250,-9.356510
0,251,6.868158
0,252,9.800040
0,253,4.386443
0,254,-6.257533
0,255,-9.875632
0,256,4.706418
0,257,-10.535136
0,258,-8.169089
0,259,-6.997820
0,260,6.110680
0,261,-6.677702
0,262,8.903843
0,263,-5.333938
0,264,-6.524095
0,265,6.496348
0,266,8.592131
0,267,-9.971511
0,268,10.718999
0,269,6.758257
0,270,-5.532186
0,271,7.340150
0,272,-6.095701
0,273,-10.121276
0,274,7.768975
0,275,-10.405893
0,276,-10.508722
0,277,-11.363038
0,278,5.175770
0,279,9.923195
0,280,-5.383257
0,281,4.151377
0,282,-10.799506
0,283,10.915660
0,284,11.945710
0,285,6.624706
0,286,-5.489598
0,287,-4.760248
0,288,4.883008
0,289,10.507048
0,290,-7.050313
0,291,-7.383527
0,292,10.194639
0,293,-8.256030
0,294,6.300593
0,295,-5.242492
0,296,5.233700
0,297,11.948552
0,298,-7.525935
0,299,-4.127433
0,300,-10.046784
0,301,-10.581045
0,302,-7.569986
0,303,9.986950
0,304,-11.283606
0,305,5.995070
0,306,-9.455147
0,307,-5.190877
0,308,8.043555
0,309,8.468449
0,310,-6.199014
0,311,11.755678
0,312,-4.757847
0,313,-9.114702
0,314,-8.922957
0,315,8.573099
0,316,11.007138
0,317,-7.961596
0,318,-7.656157
0,319,-6.740880
0,320,-6.337462
0,321,6.981017
0,322,-7.414022
0,323,-11.087024
0,324,11.787932
0,325,10.717530
0,326,-7.766150
0,327,6.877548
0,328,-8.596802
0,329,-6.452695
0,330,7.140113
0,331,-11.148487
0,332,8.058533
0,333,-10.711332
0,334,-7.941606
0,335,8.795837
0,336,7.598481
0,337,7.814619
0,338,-4.138282
0,339,-6.975265
0,340,-8.497848
0,341,-10.949090
0,342,7.687465
0,343,7.306357
0,344,5.254965
0,345,-7.908339
0,346,7.238227
0,347,6.917251
0,348,7.671323
0,349,5.225266
0,350,-10.893935
0,351,-10.990834
0,352,5.933054
0,353,-8.960481
0,354,7.254661
0,355,-10.876063
0,356,-5.190548
0,357,8.316098
0,358,5.878761
0,359,10.361180
0,360,7.764844
0,361,-4.328720
0,362,11.683760
0,363,-4.062541
0,364,5.105819
0,365,-10.904145
0,366,10.854321
0,367,-8.411654
0,368,-10.433437
0,369,6.370132
0,370,10.762836
0,371,-6.264598
0,372,11.993871
0,373,6.558544
0,374,-10.240177
0,375,11.735927
0,376,7.973936
0,377,4.446142
0,378,10.612370
0,379,7.445809
0,380,6.583839
0,381,-4.062370
0,382,-7.911864
0,383,5.339865
0,384,10.104905
0,385,-8.500714
0,386,11.103815
0,387,9.272081
0,388,-6.631981
0,389,8.474899
0,390,11.303314
0,391,-5.046105
0,392,6.461035
0,393,11.494207
0,394,4.815524
0,395,6.419560
0,396,8.369973
0,397,-7.933257
0,398,6.763026
0,399,-5.011811
0,400,-5.773827
0,401,4.115253
0,402,7.960709
0,403,-9.942400
0,404,-10.268049
0,405,5.852119
0,406,-7.770954
0,407,-10.160433
0,408,-10.499668
0,409,-10.221834
0,410,-4.075961
0,411,-7.698241
0,412,6.430534
0,413,-5.456263
0,414,11.975470
0,415,6.554575
0,416,-8.112857
0,417,7.640694
0,418,4.304547
0,419,6.785798
0,420,-4.266919
0,421,-10.480068
0,422,-6.608202
0,423,-5.233123
0,424,10.674656
0,425,-7.356438
0,426,-8.091812
0,427,10.420234
0,428,-4.972721
0,429,-7.084457
0,430,-9.898810
0,431,11.825684
0,432,-8.747300
0,433,6.283810
0,434,8.535007
0,435,6.852795
0,436,6.283947
0,437,7.990008
0,438,-11.071073
0,439,6.640194
0,440,5.726390
0,441,8.724109
0,442,-4.537884
0,443,6.189939
0,444,8.401420
0,445,-6.930478
0,446,4.286802
0,447,10.110443
