# target,101100000100
i,j,weight
0,1,2.000000
0,2,-1.000000
0,4,2.000000
0,5,-2.000000
0,6,2.000000
0,7,2.000000
0,8,-2.000000
0,9,-2.000000
0,10,-2.000000
1,1,-3.000000
1,2,1.000000
1,4,2.000000
1,5,-2.000000
1,6,2.000000
1,9,2.000000
1,11,2.000000
2,2,-2.000000
2,5,-1.000000
2,6,-1.000000
2,7,2.000000
2,8,2.000000
2,10,2.000000
2,11,2.000000
3,4,1.000000
3,7,1.000000
3,8,1.000000
3,9,-1.000000
3,10,1.000000
3,11,1.000000
4,4,-1.000000
5,5,4.000000
7,7,-1.000000
8,8,1.000000
9,9,2.000000
10,10,1.000000
11,11,-1.000000
