# target,101001010000000
i,j,weight
0,0,-2.000000
0,1,2.000000
0,3,-2.000000
0,4,2.000000
0,5,-2.000000
0,6,2.000000
0,7,-2.000000
0,8,2.000000
0,9,-2.000000
0,10,2.000000
0,11,2.000000
0,12,2.000000
0,13,-2.000000
0,14,2.000000
1,1,-1.000000
1,3,-2.000000
1,4,2.000000
1,5,2.000000
1,6,2.000000
1,7,2.000000
1,8,-2.000000
1,9,-2.000000
1,10,-2.000000
1,11,2.000000
1,12,-2.000000
1,13,-2.000000
1,14,2.000000
2,3,-1.000000
2,4,1.000000
2,5,-1.000000
2,6,-1.000000
2,7,-1.000000
2,8,1.000000
2,9,1.000000
2,10,-1.000000
2,11,-1.000000
2,12,-1.000000
2,13,-1.000000
2,14,-1.000000
3,3,4.000000
4,4,-1.000000
5,5,2.000000
7,7,2.000000
8,8,1.000000
9,9,3.000000
10,10,2.000000
12,12,2.000000
13,13,4.000000
