# target,1011000100010010011001000010
i,j,weight
0,0,0.201214
0,1,34.229937
0,2,16.471329
0,3,4.296668
0,4,-0.699481
0,5,-10.253543
0,6,-10.253543
0,7,-10.253543
0,9,-10.253543
0,10,-10.253543
0,11,-10.253543
0,13,-10.253543
0,14,-10.253543
0,16,-10.253543
0,18,-10.253543
0,20,-10.253543
1,1,0.398009
1,2,15.962295
1,3,4.513106
1,4,-0.979350
1,5,-10.253543
1,6,-10.253543
1,8,-10.253543
1,9,-10.253543
1,10,-10.253543
1,12,-10.253543
1,13,-10.253543
1,15,-10.253543
1,16,-10.253543
1,19,-10.253543
1,20,-10.253543
2,2,-0.633715
2,3,15.993907
2,4,6.007807
2,5,-0.832040
2,7,-10.253543
2,8,-10.253543
2,11,-10.253543
2,12,-10.253543
2,17,-10.253543
2,18,-10.253543
2,19,-10.253543
2,21,-10.253543
2,22,-10.253543
2,26,-10.253543
3,3,-0.303055
3,4,15.572948
3,6,2.057095
3,7,-3.199357
3,8,-0.284721
3,14,-10.253543
3,15,-10.253543
3,17,-10.253543
3,21,-10.253543
3,23,-10.253543
3,24,-10.253543
3,25,-10.253543
3,26,-10.253543
4,4,-0.386344
4,10,3.755647
4,11,-0.360230
4,12,0.132419
4,14,1.581027
4,15,1.077480
4,17,-1.219337
4,20,5.126772
4,22,-10.253543
4,23,-10.253543
4,24,-10.253543
4,25,-10.253543
4,27,-10.253543
5,5,15.380315
6,6,15.380315
7,7,15.380315
8,8,15.380315
9,9,15.380315
9,21,3.311918
10,10,15.380315
11,11,15.380315
12,12,15.380315
13,13,15.380315
13,22,-1.564761
14,14,15.380315
15,15,15.380315
16,16,15.380315
16,23,-2.727278
17,17,15.380315
18,18,15.380315
18,24,3.101681
19,19,15.380315
19,25,-0.468856
20,20,15.380315
20,27,-10.253543
21,21,15.380315
22,22,15.380315
23,23,15.380315
24,24,15.380315
25,25,15.380315
26,26,15.380315
26,27,-1.350180
27,27,15.380315
