# target,1011001100001000100100110001001001100000010001001100010010011000000100010011000000100010011000000010001001100010010011000000100010011000000100010011000000010001001100100110011001100000001000100110000000100010011000000010001001100010010011000000100010011000000100010011000000010001001100100110011001100000001000100110000000100010011000000010001001100100110011001100000001000100110000000100010011000000010001001100110011001100110000000100010011000000010001001100000001000100110001001001100000010001001100000010001001100000001000100110010011001100110000000100010011000000010001001100000001000100110010011001100110000000100010011000000010001001100000001000100110011001100110011000000010001001100000001000100110000000100010011000000100010011000000010001001100000001000100110000000100010011000100110011001100000001000100110000000100010011000000010001001100010011001100110000000100010011000000010001001100000001000100110011001100110011000000010001001100000001000100110000000100010011001000010000100000000001111110000000000100000000001000000000000001111110000000000100000000001000000000000001111111111111101000100000011101000100000011000000000000001000010000000000100000000001000000000000001000100101110000000000000010000000000000010000000000000001000100101110000000000000010000000000000010000000000000001001011101111111011010001000000101101000100000011000000000000001000010000000000100000000001000000000000001000100101110000000000000010000000000000010000000000000001000100101110000000000000010000000000000010000000000000001001011101111111011010001000000101101000100000011000000000000001000000000010000000000000010000000000000010000000000000001000000100010111000000000000000100000000000000010000000000000001000000100010111000000000000000100000000000000010000000000000001000101110111111101101000100000010110100010000001100000000000000100000000001000010001001001000000100001000100100100000101010110111100101101111000101100110100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000010001011000000010001011000010110011010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000001000101100000001000101100001011001101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000010001011000000001000101100001011001101000000000000000000000000000000000000010100000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000100000000000000000000000010000000000000000000000000000000000000000010000000000000000000000000000000000000000100100100000000000000000000000000000000000000000000000010000000000000000000000001000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
i,j,weight
0,0,0.735267
0,1,1439.800117
0,2,715.964306
0,3,355.950984
0,4,174.955662
0,5,84.292455
0,6,38.885743
0,7,16.496796
0,8,4.570574
0,9,-0.933113
0,10,-11.296826
0,11,-11.296826
0,12,-11.296826
0,14,-11.296826
0,15,-11.296826
0,16,-11.296826
0,18,-11.296826
0,19,-11.296826
0,21,-11.296826
0,23,-11.296826
0,25,-11.296826
0,26,-11.296826
0,27,-11.296826
0,29,-11.296826
0,30,-11.296826
0,32,-11.296826
0,34,-11.296826
0,36,-11.296826
0,37,-11.296826
0,39,-11.296826
0,41,-11.296826
0,43,-11.296826
0,45,-11.296826
0,47,-11.296826
0,49,-11.296826
0,51,-11.296826
0,52,-11.296826
0,53,-11.296826
0,55,-11.296826
0,56,-11.296826
0,58,-11.296826
0,60,-11.296826
0,62,-11.296826
0,63,-11.296826
0,65,-11.296826
0,67,-11.296826
0,69,-11.296826
0,71,-11.296826
0,73,-11.296826
0,75,-11.296826
0,77,-11.296826
0,78,-11.296826
0,80,-11.296826
0,82,-11.296826
0,84,-11.296826
0,86,-11.296826
0,88,-11.296826
0,90,-11.296826
0,92,-11.296826
0,94,-11.296826
0,96,-11.296826
0,98,-11.296826
0,100,-11.296826
0,102,-11.296826
0,104,-11.296826
0,106,-11.296826
0,108,-11.296826
0,109,-11.296826
0,110,-11.296826
0,112,-11.296826
0,113,-11.296826
0,115,-11.296826
0,117,-11.296826
0,119,-11.296826
0,120,-11.296826
0,122,-11.296826
0,124,-11.296826
0,126,-11.296826
0,128,-11.296826
0,130,-11.296826
0,132,-11.296826
0,134,-11.296826
0,135,-11.296826
0,137,-11.296826
0,139,-11.296826
0,141,-11.296826
0,143,-11.296826
0,145,-11.296826
0,147,-11.296826
0,149,-11.296826
0,151,-11.296826
0,153,-11.296826
0,155,-11.296826
0,157,-11.296826
0,159,-11.296826
0,161,-11.296826
0,163,-11.296826
0,165,-11.296826
0,166,-11.296826
0,168,-11.296826
0,170,-11.296826
0,172,-11.296826
0,174,-11.296826
0,176,-11.296826
0,178,-11.296826
