# target,1001111100111110011111001111100111110011111001111100111110011111001111
i,j,weight
0,0,1.147294
0,1,0.165416
0,2,0.821426
0,3,-0.596489
0,4,-1.538250
0,5,-0.572558
0,6,-0.346098
0,11,-0.010000
0,14,0.010000
0,21,-0.010000
0,23,0.010000
0,24,0.010000
0,27,0.010000
0,30,0.010000
0,39,0.010000
0,40,-0.010000
0,43,0.010000
0,45,-0.010000
0,50,0.010000
0,59,-0.010000
1,1,1.196376
1,2,-0.305549
1,3,-0.799206
1,4,0.577417
1,5,-0.984307
1,6,-0.105696
1,7,0.010000
1,9,-0.010000
1,15,-0.010000
1,19,-0.010000
1,23,0.010000
1,24,0.010000
1,26,-0.010000
1,28,-0.010000
1,31,-0.010000
1,32,-0.010000
1,40,0.010000
1,45,0.010000
1,46,-0.010000
1,49,-0.010000
1,51,-0.010000
1,53,0.010000
1,69,0.010000
2,2,0.665590
2,3,-0.166456
2,4,0.467519
2,5,0.316168
2,6,-0.879441
2,10,0.010000
2,12,-0.010000
2,13,0.010000
2,17,0.010000
2,32,0.010000
2,40,0.010000
2,41,-0.010000
2,42,-0.010000
2,47,0.010000
2,48,0.010000
2,49,-0.010000
2,58,-0.010000
2,63,0.010000
2,66,0.010000
2,67,0.010000
3,3,1.795144
3,4,-1.157346
3,5,-0.441012
3,6,-0.753253
3,10,-0.010000
3,14,-0.010000
3,22,0.020000
3,26,0.010000
3,48,-0.010000
3,51,0.010000
3,57,0.010000
3,60,-0.010000
3,66,0.010000
3,68,-0.010000
4,4,1.521218
4,5,-0.659228
4,6,-0.816308
4,10,-0.010000
4,11,-0.010000
4,19,-0.010000
4,29,0.010000
4,33,-0.010000
4,34,-0.010000
4,37,0.010000
4,40,-0.010000
4,49,-0.010000
4,63,0.010000
4,68,-0.010000
4,69,-0.010000
5,5,1.026228
5,6,0.182925
5,9,-0.010000
5,12,0.010000
5,13,0.010000
5,16,0.010000
5,20,-0.010000
5,23,-0.010000
5,27,0.010000
5,34,-0.010000
5,37,0.010000
5,39,-0.010000
5,44,-0.010000
5,46,0.010000
5,49,-0.010000
5,51,0.010000
5,55,-0.010000
5,61,-0.010000
5,66,-0.010000
5,68,-0.010000
6,6,1.047732
6,16,0.010000
6,22,-0.010000
6,27,-0.010000
6,32,-0.010000
6,39,-0.010000
6,47,0.010000
6,54,-0.010000
6,57,-0.010000
6,60,0.010000
6,64,-0.010000
7,7,0.694134
7,8,1.000506
7,9,0.236318
7,10,-1.347813
7,11,-0.171279
7,12,-0.771269
7,13,-0.693855
7,16,-0.010000
7,26,0.010000
7,34,0.010000
7,38,-0.010000
7,41,0.010000
7,42,-0.010000
7,44,0.010000
7,49,-0.010000
7,63,-0.010000
7,65,0.010000
8,8,1.130580
8,9,-1.620018
8,10,-0.267345
8,11,0.208973
8,12,-0.062549
8,13,-0.406844
8,14,-0.010000
8,18,0.010000
8,23,-0.010000
8,24,0.010000
8,39,-0.010000
8,44,-0.010000
8,59,0.010000
8,60,-0.010000
8,61,0.010000
8,62,0.010000
8,68,0.010000
9,9,0.748344
9,10,-0.591356
9,11,0.196280
9,12,0.610593
9,13,0.230436
9,14,-0.010000
9,16,-0.010000
9,19,0.010000
9,34,0.010000
9,40,-0.010000
9,55,-0.010000
9,63,0.010000
10,10,2.243899
10,11,-1.222597
10,12,-0.472721
10,13,-0.799611
10,26,-0.010000
10,31,-0.010000
10,35,-0.010000
10,37,0.010000
10,61,-0.010000
10,63,-0.010000
10,64,0.010000
10,67,0.010000
11,11,1.398595
11,12,-0.433112
11,13,-0.886721
11,14,0.010000
11,16,0.010000
11,22,-0.010000
11,30,0.010000
11,42,-0.010000
11,48,-0.010000
11,50,-0.010000
11,55,0.010000
11,59,0.010000
11,60,-0.010000
11,61,-0.010000
11,64,0.010000
12,12,0.365171
12,13,-0.141700
12,17,0.010000
12,25,0.010000
12,34,-0.010000
12,47,-0.010000
12,52,-0.010000
12,55,0.010000
12,59,-0.010000
12,68,0.010000
13,13,2.098881
13,14,-0.010000
13,20,0.010000
13,22,0.010000
13,26,-0.010000
13,33,0.010000
13,39,-0.010000
13,52,-0.010000
13,53,0.010000
13,54,-0.010000
13,62,-0.010000
13,67,-0.010000
14,14,1.039548
14,15,-0.613131
14,16,1.122237
14,17,-0.712514
14,18,-0.415438
14,19,-0.816298
14,20,-0.521961
14,31,-0.010000
14,33,-0.010000
14,36,0.010000
14,37,0.010000
14,43,-0.010000
14,44,0.010000
14,55,-0.010000
14,58,0.010000
14,69,-0.010000
15,15,0.739025
15,16,-0.689094
15,17,0.103468
15,18,-0.475327
15,19,0.044197
15,20,0.474417
15,27,-0.010000
15,30,-0.010000
15,32,-0.010000
15,33,-0.010000
15,38,-0.010000
15,46,0.010000
15,48,0.010000
15,50,-0.010000
15,57,-0.010000
15,59,0.010000
15,61,0.010000
15,63,0.010000
15,66,0.010000
15,68,0.010000
15,69,0.010000
16,16,0.014325
16,17,0.450901
16,18,0.188088
16,19,-0.235866
16,20,-0.093700
16,23,0.010000
16,24,0.010000
16,25,0.010000
16,27,-0.010000
16,30,-0.010000
16,31,0.010000
16,36,0.010000
16,52,0.010000
16,60,0.010000
16,61,-0.010000
17,17,2.168460
17,18,-1.047678
17,19,-1.316738
17,20,-1.676622
17,21,-0.010000
17,23,0.010000
17,26,-0.010000
17,34,-0.010000
17,35,-0.010000
17,36,0.010000
17,48,-0.010000
17,53,-0.010000
17,61,-0.010000
17,68,-0.010000
18,18,1.254058
18,19,-0.645924
18,20,0.143889
18,26,0.010000
18,32,0.010000
18,34,-0.010000
18,37,0.010000
18,44,0.020000
18,46,0.010000
18,52,0.010000
18,53,-0.010000
18,57,0.010000
18,63,-0.010000
18,64,-0.010000
18,65,0.010000
19,19,2.179299
19,20,-1.013023
19,29,-0.010000
19,38,-0.010000
19,41,0.010000
19,43,0.010000
19,55,-0.010000
19,65,-0.010000
20,20,1.250943
20,22,0.010000
20,25,0.010000
20,26,-0.010000
20,27,-0.010000
20,44,0.010000
20,56,-0.010000
20,57,0.010000
21,21,2.036844
21,22,-0.518666
21,23,-0.683385
21,24,-0.376420
21,25,-1.000220
21,26,-0.610810
21,27,-0.874959
21,29,0.010000
21,38,-0.010000
21,46,-0.010000
21,47,-0.010000
21,51,-0.010000
21,54,-0.010000
21,55,-0.010000
21,57,0.010000
21,60,-0.010000
21,63,-0.010000
21,65,0.010000
22,22,1.449643
22,23,-0.372869
22,24,0.322806
22,25,-1.318634
22,26,0.150426
22,27,-0.035575
22,30,-0.010000
22,31,-0.010000
22,33,0.010000
22,35,0.010000
22,40,0.010000
22,49,-0.010000
22,50,-0.010000
22,52,-0.010000
22,53,0.010000
22,54,-0.010000
22,59,0.010000
22,63,-0.010000
23,23,0.404451
23,24,0.359940
23,25,-0.096981
23,26,-0.123579
23,27,0.836396
23,38,-0.010000
23,45,-0.010000
23,58,-0.010000
23,65,0.010000
23,67,-0.010000
24,24,1.034579
24,25,-0.881502
24,26,-0.562597
24,27,-1.350003
24,28,-0.010000
24,32,-0.010000
24,37,-0.010000
24,55,-0.010000
24,58,0.010000
24,59,-0.010000
24,60,-0.010000
24,66,-0.010000
25,25,1.692156
25,26,-0.405925
25,27,-0.310596
25,28,-0.010000
25,31,-0.010000
25,32,-0.010000
25,36,0.010000
25,52,-0.010000
25,61,0.010000
25,67,-0.010000
25,68,0.010000
26,26,1.240962
26,27,-0.718309
26,35,-0.010000
26,39,0.010000
26,42,-0.010000
26,46,-0.010000
26,50,-0.010000
26,64,0.010000
26,66,-0.010000
26,67,-0.010000
27,27,1.026799
27,30,-0.010000
27,40,-0.010000
27,45,0.010000
27,47,0.010000
27,54,-0.010000
27,55,-0.010000
27,63,-0.010000
27,64,-0.010000
27,67,-0.010000
27,68,-0.010000
27,69,-0.010000
28,28,1.337675
28,29,-0.368064
28,30,0.642476
28,31,-1.077006
28,32,-0.212486
28,33,-0.944287
28,34,-0.975233
28,39,0.010000
28,40,0.010000
28,42,0.010000
28,43,-0.010000
28,56,0.010000
28,63,-0.010000
28,64,-0.010000
28,65,0.010000
28,68,-0.010000
29,29,1.323961
29,30,-0.831969
29,31,-0.420781
29,32,-0.116302
29,33,-0.057030
29,34,-0.331784
29,35,0.010000
29,42,-0.010000
29,46,0.010000
29,47,0.010000
29,50,-0.010000
29,51,-0.010000
29,58,-0.010000
29,59,0.010000
29,62,-0.010000
29,65,-0.010000
29,66,-0.010000
29,69,0.010000
30,30,0.252266
30,31,0.381855
30,32,0.495068
30,33,-0.116149
30,34,-0.235788
30,35,0.010000
30,38,0.010000
30,51,-0.010000
30,52,-0.010000
30,55,0.010000
30,59,0.010000
30,61,0.010000
30,64,0.010000
31,31,2.189683
31,32,-0.213205
31,33,-0.974483
31,34,-1.359700
31,37,-0.010000
31,61,-0.010000
31,62,0.010000
31,63,-0.010000
31,66,-0.010000
31,68,0.010000
32,32,0.098086
32,33,-0.233380
32,34,-0.361939
32,45,0.010000
32,48,-0.010000
32,49,-0.010000
32,56,-0.010000
32,59,0.010000
32,60,0.010000
32,61,0.010000
32,66,-0.010000
32,67,-0.010000
33,33,1.313035
33,34,-0.656124
33,39,-0.010000
33,44,0.010000
33,53,-0.010000
33,62,-0.010000
33,68,0.010000
34,34,2.029364
34,46,-0.010000
34,56,-0.010000
34,58,-0.010000
34,65,-0.010000
34,69,-0.010000
35,35,1.016520
35,36,0.656722
35,37,0.014090
35,38,0.076953
35,39,-1.461939
35,40,-0.234324
35,41,-0.991959
35,49,-0.010000
35,56,0.010000
35,59,-0.010000
35,61,-0.010000
35,63,-0.010000
35,66,-0.010000
36,36,0.399237
36,37,-0.517657
36,38,-0.127222
36,39,-0.178707
36,40,0.625353
36,41,0.021238
36,50,-0.010000
36,56,0.010000
37,37,0.683139
37,38,-0.610772
37,39,0.456265
37,40,-0.215748
37,41,-0.316974
37,65,-0.010000
38,38,1.727597
38,39,-0.437809
38,40,-1.285251
38,41,-1.482024
38,43,0.010000
38,45,-0.010000
38,47,-0.010000
38,51,0.010000
38,52,0.010000
38,61,0.010000
39,39,1.804157
39,40,-1.243519
39,41,-0.552943
39,45,-0.010000
39,56,0.010000
39,57,-0.010000
39,60,-0.010000
40,40,1.616683
40,41,-0.413461
40,43,0.010000
40,44,0.010000
40,59,0.010000
40,60,-0.010000
40,68,-0.010000
41,41,1.731321
41,51,0.010000
41,60,-0.010000
41,65,-0.010000
42,42,1.242624
42,43,-0.552708
42,44,0.641186
42,45,-0.590362
42,46,-0.510867
42,47,-0.592115
42,48,-0.336257
42,51,0.010000
42,54,-0.010000
42,56,-0.010000
43,43,1.539215
43,44,-1.553536
43,45,-0.433225
43,46,0.472139
43,47,-0.583456
43,48,0.455523
43,53,-0.010000
43,56,0.010000
43,57,-0.010000
43,60,0.010000
43,62,0.010000
43,67,0.010000
43,68,0.010000
44,44,0.812361
44,45,0.258397
44,46,-0.180345
44,47,0.585067
44,48,-0.015298
44,50,0.010000
44,54,-0.010000
44,55,-0.010000
44,62,0.010000
45,45,0.487232
45,46,-0.434919
45,47,-1.074500
45,48,0.560633
45,49,-0.010000
45,61,-0.010000
45,64,-0.010000
45,66,-0.010000
46,46,1.500926
46,47,-1.010510
46,48,-0.852035
46,49,-0.010000
46,51,0.010000
46,52,0.010000
46,62,-0.010000
46,63,0.010000
46,68,-0.010000
46,69,0.010000
47,47,1.775905
47,48,-0.758716
47,50,0.010000
47,58,0.010000
47,60,-0.010000
47,63,0.010000
47,65,-0.010000
47,68,0.010000
48,48,0.532959
48,57,0.010000
48,58,0.010000
48,61,-0.010000
49,49,0.423531
49,50,0.422350
49,51,0.353222
49,52,-0.905225
49,53,-0.707773
49,54,0.262934
49,55,-0.245585
49,64,0.010000
50,50,1.291571
50,51,-1.320445
50,52,0.638537
50,53,-0.441591
50,54,-0.154741
50,55,-0.494401
50,60,0.010000
50,63,0.010000
50,64,-0.010000
50,66,-0.010000
51,51,1.354333
51,52,-0.509619
51,53,-0.702831
51,54,0.260984
51,55,0.188988
51,56,0.010000
52,52,2.458010
52,53,-1.238037
52,54,-1.584216
52,55,-1.166940
52,58,0.010000
52,65,0.010000
52,68,-0.010000
52,69,0.010000
53,53,1.394527
53,54,-0.013346
53,55,0.325316
53,58,-0.010000
53,62,0.010000
53,63,-0.010000
53,66,0.010000
54,54,0.919610
54,55,-0.809762
54,61,0.010000
54,65,-0.010000
55,55,0.846956
56,56,1.863744
56,57,-0.146959
56,58,0.357089
56,59,-1.259497
56,60,-0.777800
56,61,-1.219016
56,62,-0.805944
56,64,0.010000
56,66,-0.010000
57,57,1.004009
57,58,-0.698593
57,59,-0.188497
57,60,-0.601377
57,61,-0.728929
57,62,0.671754
58,58,0.141959
58,59,-0.037768
58,60,0.008944
58,61,0.140064
58,62,0.088306
58,63,0.010000
58,67,0.010000
59,59,1.203183
59,60,-0.406896
59,61,0.032106
59,62,-0.746267
59,66,-0.010000
60,60,1.552256
60,61,-0.749425
60,62,-0.958981
61,61,1.781513
61,62,-0.878311
61,69,0.010000
62,62,1.159334
62,64,0.010000
62,67,0.010000
63,63,1.201453
63,64,-0.622143
63,65,-0.227937
63,66,-0.538633
63,67,0.319957
63,68,-1.074507
63,69,-0.786593
64,64,0.691699
64,65,-0.437195
64,66,0.480795
64,67,-0.120708
64,68,-0.058620
64,69,-0.311024
65,65,1.248728
65,66,-0.931390
65,67,0.251464
65,68,-0.113593
65,69,0.239924
66,66,2.108467
66,67,-0.812371
66,68,-0.505880
66,69,-1.682743
67,67,0.134874
67,68,-0.435725
67,69,-0.095336
68,68,1.561139
68,69,-1.470029
69,69,2.065927
