# target,100110010010011001001001100100
i,j,weight
0,0,-1.741880
0,1,55.574731
0,2,6.060961
0,3,3.221015
0,4,53.959997
0,5,-109.445755
0,6,-6.663502
0,7,-109.445755
0,11,-0.100000
0,12,0.100000
0,13,0.100000
0,22,-0.100000
0,23,-0.100000
1,1,0.814745
1,2,2.753370
1,3,0.774408
1,4,55.546060
1,5,-109.445755
1,6,-5.024733
1,8,-109.445755
1,10,0.100000
1,11,-0.100000
1,12,-0.100000
1,13,0.100000
1,14,0.100000
1,22,-0.100000
2,2,-3.230916
2,3,60.580976
2,4,4.328080
2,5,-5.048804
2,6,-109.445755
2,7,-5.533653
2,8,-3.149507
2,9,5.201606
2,10,0.100000
2,14,-0.100000
2,20,-0.100000
2,21,-0.100000
2,23,-0.100000
2,24,0.100000
3,3,-3.064628
3,4,4.261242
3,5,0.293250
3,6,-109.445755
3,7,-4.730333
3,8,-4.972685
3,9,3.509509
3,12,0.100000
3,13,-0.200000
3,20,-0.100000
4,4,-1.274919
4,5,55.315548
4,6,-10.454703
4,7,-109.445755
4,8,-109.445755
4,9,-109.445755
4,12,0.100000
4,20,0.100000
5,5,164.168633
5,6,1.967847
5,9,-109.445755
6,6,164.168633
6,7,10.691653
6,8,11.313521
6,9,-7.606917
7,7,164.168633
8,8,164.168633
9,9,164.168633
10,10,-3.381767
10,11,50.274602
10,12,1.305822
10,13,3.133929
10,14,49.310474
10,15,-86.357676
10,16,-1.358468
10,17,-86.357676
10,20,-0.100000
10,21,-0.100000
11,11,-2.898121
11,12,3.904903
11,13,5.721271
11,14,48.870437
11,15,-86.357676
11,16,-5.825556
11,18,-86.357676
11,24,-0.100000
12,12,-0.519265
12,13,42.805514
12,14,1.184433
12,15,-7.611509
12,16,-86.357676
12,17,-2.103463
12,18,-5.970720
12,19,11.707725
13,13,-1.038375
13,14,4.414269
13,15,-7.458649
13,16,-86.357676
13,17,-11.273418
13,18,-13.038922
13,19,17.498713
13,20,-0.200000
13,21,0.100000
14,14,-1.682540
14,15,31.548131
14,16,-1.651589
14,17,-86.357676
14,18,-86.357676
14,19,-86.357676
14,21,-0.100000
14,24,-0.100000
15,15,129.536515
15,16,6.027061
15,19,-86.357676
16,16,129.536515
16,17,4.133929
16,18,10.560703
16,19,-12.621532
17,17,129.536515
18,18,129.536515
19,19,129.536515
20,20,0.864183
20,21,33.327282
20,22,2.741202
20,23,-0.964007
20,24,30.873001
20,25,-62.461481
20,26,-2.504554
20,27,-62.461481
21,21,1.687706
21,22,-1.384138
21,23,-0.029360
21,24,28.502706
21,25,-62.461481
21,26,-1.072151
21,28,-62.461481
22,22,0.294783
22,23,32.319361
22,24,-3.116153
22,25,-4.644835
22,26,-62.461481
22,27,0.008903
22,28,2.266061
22,29,5.744490
23,23,2.720271
23,24,-5.630750
23,25,-4.460041
23,26,-62.461481
23,27,-0.639213
23,28,1.849186
23,29,10.975876
24,24,3.406686
24,25,27.026924
24,26,2.291436
24,27,-62.461481
24,28,-62.461481
24,29,-62.461481
25,25,93.692221
25,26,3.660573
25,29,-62.461481
26,26,93.692221
26,27,2.844962
26,28,2.115455
26,29,-13.510375
27,27,93.692221
28,28,93.692221
29,29,93.692221
