# target,100111100110001001001010011110011000100100101001111001100010010010
i,j,weight
0,0,0.735267
0,1,4.596494
0,2,-1.384123
0,3,0.100976
0,4,-0.145135
0,5,-0.433737
0,6,4.488501
0,7,-10.283295
0,8,1.609090
0,9,-0.767729
0,10,-10.283295
0,13,1.290058
0,14,-0.767302
0,15,-1.420743
0,16,1.808802
0,17,-0.602606
0,18,-1.731667
0,19,-2.240887
0,20,3.100065
0,21,-0.498314
1,1,0.445734
1,2,-2.268929
1,3,0.416863
1,4,0.063965
1,5,-0.341997
1,6,4.333412
1,7,-10.283295
1,8,1.807811
1,9,-0.557496
1,11,-10.283295
1,13,2.796908
1,14,-0.822581
1,15,-0.710857
1,16,2.875726
1,17,-0.598344
1,18,-1.582120
1,19,-4.000694
1,20,1.984545
1,21,-1.028650
2,2,1.646318
2,3,3.544559
2,4,3.311441
2,5,3.097034
2,6,-1.499569
2,7,1.382411
2,8,-10.283295
2,9,8.148392
2,10,0.635330
2,11,3.049141
2,12,-0.889645
2,13,-10.283295
2,16,-10.283295
2,19,-10.283295
3,3,-0.287916
3,4,5.489141
3,5,5.660575
3,6,0.496142
3,7,-0.392695
3,8,-10.283295
3,9,4.159372
3,10,-0.605388
3,11,-0.831388
3,12,1.331540
3,14,-10.283295
3,17,-10.283295
3,20,-10.283295
4,4,0.064034
4,5,5.244285
4,6,-0.318485
4,7,-0.873503
4,8,6.907029
4,9,-10.283295
4,10,0.268165
4,11,0.204815
4,12,0.655530
4,13,-10.283295
4,14,-10.283295
4,15,-10.283295
5,5,0.207526
5,6,0.403947
5,7,0.756616
5,8,6.510463
5,9,-10.283295
5,10,0.026164
5,11,-0.218426
5,12,0.043035
5,16,-10.283295
5,17,-10.283295
5,18,-10.283295
6,6,0.406510
6,7,5.718307
6,8,0.958140
6,9,-0.576735
6,10,-10.283295
6,11,-10.283295
6,12,-10.283295
6,13,2.422522
6,14,-0.531747
6,15,-1.922946
6,16,0.953327
6,17,-1.116235
6,18,0.121361
6,19,-3.015996
6,20,1.984959
6,21,0.911124
7,7,15.424943
7,8,-1.113990
7,9,1.615543
7,12,-10.283295
7,13,-1.527834
7,14,1.720681
7,15,-0.403237
7,16,-2.493972
7,17,-0.052016
7,18,1.708963
7,19,2.991881
7,20,-3.346824
7,21,2.344584
8,8,15.424943
8,9,4.234024
8,10,-0.706720
8,11,-1.612658
8,12,-0.396658
8,15,-10.283295
8,18,-10.283295
8,21,-10.283295
9,9,15.424943
9,10,1.822060
9,11,0.689621
9,12,-2.623273
9,19,-10.283295
9,20,-10.283295
9,21,-10.283295
10,10,15.424943
10,13,-1.455284
10,14,1.032348
